,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1253,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",0.937190224568954,0.9597045865182052,0.968085855990549,0.979645132952849,0.7786616621145375,0.7779688349386215,0.4643729872818828,0.47350153958059893
3022,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9368713223663108,0.17484211645210512,0.9679211343732044,0.41814126375198263,0.7176105784140969,0.3147757847025495,0.46455524764874645,0.9040807906707271
2921,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}",0.936571523247368,0.30160187169289837,0.9677662544475127,0.5491829127830712,0.7274341559471366,0.395817777148253,0.46472659013854745,0.8345397913726564
605,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}",0.9364485175204958,0.19856985771744984,0.9677027009988636,0.44561177915024847,0.7045801105726873,0.3396041601510859,0.4647968909038612,0.8910636399548418
2321,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}",0.9362260369037558,0.5988437291055518,0.9675877411913381,0.7738499396559723,0.7402422281938327,0.5957724268177526,0.46492404398869724,0.6714715071335079
2511,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.936221319723139,0.9203735532793007,0.9675853035898897,0.9593610130077732,0.7758208704845816,0.7720457607176582,0.4649267399721764,0.49507872983048085
1951,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.9362208747892183,0.7247197512018692,0.9675850736701235,0.8513047346290687,0.7542459682819384,0.6404558553352219,0.4649269942627362,0.6024153280046063
772,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}",0.9359108664191743,0.2850504922783563,0.9674248634489266,0.5339012008586947,0.703223501321586,0.4131889552407932,0.46510417158790585,0.8436199561462656
2954,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.9358872827187338,0.7832453842519163,0.9674126744666589,0.8850115164515749,0.7707934436123347,0.7052999233238905,0.46511765024643703,0.5703078898108263
420,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}",0.9357277012209363,0.6285238851017748,0.9673301924477166,0.7927949830200585,0.7289819533039646,0.5953950385269122,0.46520885495462705,0.6551888336352891
583,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}",0.9354675642165311,0.17341628566834688,0.9671957217732774,0.41643281050890657,0.7223537845814978,0.3215676328611897,0.4653575295810948,0.9048630081603724
1814,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.9353972161989099,0.8651581570564488,0.9671593540874792,0.9301387837610304,0.750684454185022,0.722148417374882,0.46539773518454786,0.5253701564956874
701,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}",0.9352354430711567,0.23238405375144416,0.9670757173412828,0.48206229239740805,0.6942490546255508,0.3701649964117091,0.46549019246257417,0.8725130126031405
2609,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0.05}",0.9350110214852536,0.8548032953000749,0.9669596793482413,0.9245557286070294,0.7614976502202644,0.7097982373937677,0.4656184548585056,0.5310508824702977
869,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",0.934777378753976,0.9625528477080071,0.9668388587318861,0.981097776833689,0.7674080995594713,0.7769294402266289,0.4657519873633448,0.4719389700645529
2880,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.9334240932914211,0.4489342749034744,0.9661387546783439,0.6700255777979482,0.733353363876652,0.4935830304060434,0.4665254229270763,0.7537125404144396
3127,XGBRegressor,"{'max_depth': 5, 'eta': 0.01, 'gamma': 0.01}",0.9324408320579407,0.9168055132415291,0.9656297593062989,0.9574996152696508,0.7746548295154185,0.767915285552408,0.46708738064217403,0.4970361734157167
785,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'friedman_mse'}",0.9314753355821699,0.2859761136192439,0.9651296988395756,0.5347673453187319,0.7008383092511014,0.4141145765816808,0.46763918536607074,0.8431121559150749
2322,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.9314303144367955,0.5988437291055518,0.9651063746742095,0.7738499396559723,0.737737222907489,0.5957724268177526,0.46766491604589844,0.6714715071335079
1216,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.9313598518817292,0.7130711459138616,0.9650698689119505,0.8444354006754227,0.7409628603524229,0.6528981520302173,0.46770518711028775,0.6088058077796585
2474,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.9312644276526545,0.924109377641907,0.9650204286193399,0.9613060790621825,0.7729545035242291,0.7741689677053825,0.4677597243786249,0.4930292389736689
