model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.4958065018202495,0.27023835797155543,2.237437090887732,0.07302877011916253,1.0811217290014685,0.22095399536423838,-0.24276963280520736,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
1,1.5341690609189644,0.27023835797155543,2.353674707480977,0.07302877011916253,1.1156670131424375,0.22095399536423838,-0.3073330480985619,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
2,1.47611147181754,0.27023835797155543,2.1789050772313443,0.07302877011916253,1.0860029552863437,0.22095399536423838,-0.2102584129745586,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
3,1.465541412736012,0.27023835797155543,2.147811632444266,0.07302877011916253,1.0607062673274594,0.22095399536423838,-0.19298776473239765,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
4,1.5101794157273358,0.27023835797155543,2.2806418676865574,0.07302877011916253,1.0869151855359764,0.22095399536423838,-0.2667674403039664,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
5,1.512359336789692,0.27023835797155543,2.2872307635749567,0.07302877011916253,1.1051817986049928,0.22095399536423838,-0.2704271989435125,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
6,1.5316131538835491,0.27023835797155543,2.3458388531491123,0.07302877011916253,1.1266745737885464,0.22095399536423838,-0.3029806746394883,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
7,1.459702889475338,0.27023835797155543,2.1307325255426512,0.07302877011916253,1.0525275176945668,0.22095399536423838,-0.18350128777212693,0.9594628083580277,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
8,1.4342784872518513,0.8602749479167705,2.0571547789934588,0.7400729860132023,1.102818646622614,0.6800480562913906,-0.1426330151248303,0.589196416506652,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
9,1.50594573462839,0.28117014819921377,2.2678725556454413,0.07905665223836784,1.0807638329662261,0.22698187748344364,-0.25967481039220575,0.9561168200268162,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
10,1.3283147604321819,1.0693042953619085,1.764420102782005,1.1434116760794275,1.0397413842143906,0.8478768033112583,0.019964524509375248,0.365309067053037,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
11,1.4266635111853263,1.405493049374851,2.035368774147644,1.9754107118410171,1.1153971636563877,1.074167441721854,-0.1305321228348113,-0.09652130888744348,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'poisson'}
12,1.405172236240645,0.8602749479167705,1.974509013501535,0.7400729860132023,1.0850476337004407,0.6800480562913906,-0.09672797133539701,0.589196416506652,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'squared_error'}
13,1.5181267354431165,0.28117014819921377,2.304708784867174,0.07905665223836784,1.0900442338472833,0.22698187748344364,-0.2801352502634593,0.9561168200268162,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'friedman_mse'}
14,1.3283147604321819,1.0693042953619085,1.764420102782005,1.1434116760794275,1.0397413842143906,0.8478768033112583,0.019964524509375248,0.365309067053037,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'absolute_error'}
15,1.4266635111853263,1.405493049374851,2.035368774147644,1.9754107118410171,1.1153971636563877,1.074167441721854,-0.1305321228348113,-0.09652130888744348,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'poisson'}
16,1.358016862385575,1.0219870513040121,1.8442097985235617,1.0444575330330697,1.060541736784141,0.8047192205298013,-0.024354134228435464,0.420237050283372,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'squared_error'}
