model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
19,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'poisson'}
20,1.150029982642577,1.1741374482386087,1.3225689609768863,1.3785987473562713,0.8939131277227723,0.9332196647107436,0.22836411815381064,0.24357975800026843,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'squared_error'}
21,1.0273243409804644,0.34341686003014654,1.0553953015709456,0.11793513975296527,0.7181917026402641,0.2767068473553719,0.38424315990109337,0.9352904337659637,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'friedman_mse'}
22,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'absolute_error'}
23,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'poisson'}
24,1.2793973733225634,1.310439755064609,1.636857638864675,1.717252351653792,0.9876093092409242,1.0288516665289258,0.04499642371080215,0.05776467452651901,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'squared_error'}
25,0.9659155050816216,0.35835933775970846,0.9329927629570841,0.12842141495957682,0.7038475514851485,0.2871931225619834,0.4556573497167652,0.9295367430385696,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'friedman_mse'}
26,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'absolute_error'}
27,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'poisson'}
28,1.2793973733225634,1.310439755064609,1.636857638864675,1.717252351653792,0.9876093092409242,1.0288516665289258,0.04499642371080215,0.05776467452651901,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'squared_error'}
29,1.0257354379661738,0.35835933775970846,1.0521331886996583,0.12842141495957682,0.7219214716171618,0.2871931225619834,0.3861463977785786,0.9295367430385696,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'friedman_mse'}
30,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'absolute_error'}
31,1.4007254228262596,1.430472290874443,1.9620317101518037,2.0462509749595768,1.0804501429042905,1.1190031630578512,-0.14472221377016958,-0.12275283917047197,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'poisson'}
32,1.0771839431803338,0.4513383313432863,1.1603252474455328,0.20370628933974214,0.7807262128712871,0.34831610570247934,0.32302313001531324,0.8882288548609756,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
33,1.0206239979224974,0.4513383313432863,1.041673345135302,0.20370628933974214,0.7382785204620462,0.34831610570247934,0.3922490592283028,0.8882288548609756,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
34,0.957111245307659,0.48262853407328243,0.9160619358943779,0.23293030190172556,0.7256210188118811,0.35702160173553715,0.4655354234175626,0.8721939972225724,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
35,1.0489619359896256,0.4591223408691813,1.1003211431551037,0.2107933238851967,0.7796866471947195,0.3572572045454545,0.3580317543628381,0.8843402858366576,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
36,1.063349900927239,0.4513383313432863,1.1307130118019688,0.20370628933974214,0.7713394584158416,0.34831610570247934,0.3403000087554443,0.8882288548609756,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
37,1.0429140226627769,0.4513383313432863,1.0876696586666552,0.20370628933974214,0.7595029884488448,0.34831610570247934,0.3654131005746052,0.8882288548609756,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
