model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,0.9799150929714118,0.9625134906631214,0.9602335894331706,0.9264322197085066,0.753553350489892,0.7346448461110321,-0.08825714142352536,0.01175900358718407,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
1,0.9783293739874694,0.9625134906631214,0.9571283640067139,0.9264322197085066,0.7520289602459895,0.7346448461110321,-0.08473791049549018,0.01175900358718407,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
2,0.9799150929714118,0.9625134906631214,0.9602335894331706,0.9264322197085066,0.753553350489892,0.7346448461110321,-0.08825714142352536,0.01175900358718407,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
3,0.8118420339834176,0.6904410311581965,0.6590874881423325,0.47670881750679367,0.6303102814443354,0.5440733950949395,0.2530393919908741,0.49148660118932685,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
4,0.814842920668829,0.6904410311581965,0.6639689853641076,0.47670881750679367,0.6309760991806368,0.5440733950949395,0.2475070670744215,0.49148660118932685,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
5,0.8118865430719224,0.6905417280040225,0.6591597588212765,0.47684787811478135,0.6303620835577086,0.5442124557029272,0.2529574857929012,0.4913382628750109,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
6,0.8565223857797037,0.4703169128137525,0.7336305973417557,0.22119799847865887,0.6511768609571795,0.3692657341968057,0.16855779103159851,0.7640443350622564,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
7,0.8326132226537168,0.46322524985378283,0.6932447785378079,0.2145776321020995,0.6393260290140804,0.3638675351141953,0.21432806631594548,0.7711063924102268,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
8,0.8535977503849367,0.4730602070658622,0.7286291194622248,0.2237859595091964,0.6584836763154615,0.36997071806478826,0.17422609307806658,0.7612837130403878,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
9,0.9905773914788991,0.43932578716804765,0.9812435685091402,0.1930071472708247,0.718493525992459,0.34960603391315337,-0.11206828490172804,0.7941159952384549,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
10,1.0082472543733227,0.4542978741879715,1.016562525951344,0.20638655849171,0.7515658558188726,0.3545627387905358,-0.15209615737680027,0.7798439498636679,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
11,1.0129554508338994,0.432388130645623,1.0260787453741083,0.1869594955232163,0.7366823975658465,0.3455530239944118,-0.16288113080424482,0.8005671281566242,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
12,0.8758488200864828,0.8049998308533288,0.7671111556468841,0.6480247276738881,0.6723493002314073,0.625669325728729,0.1306134230409821,0.3087410077576055,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
13,0.8759650730007376,0.8038875229202711,0.7673148091171875,0.6462351495068893,0.673181621182821,0.6246566446085439,0.13038261738507484,0.310649981207892,GradientBoostingRegressor,{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
