model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
19,1.4525984879794507,1.427109809090976,2.1100423672801862,2.036642407203682,1.2368428207397624,1.214918878968254,-0.1688035097458196,-0.13482926831042863,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'poisson'}
20,1.1971642164730654,1.142346537599509,1.4332021612035684,1.3049556119655865,0.9458865998678996,0.9028551554232803,0.2061146533520819,0.2728709678898523,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'squared_error'}
21,1.057303643094199,0.316116369483666,1.1178909937002657,0.09992955905553363,0.7638789309114927,0.26028686441798937,0.380773136496641,0.9443186550645983,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'friedman_mse'}
22,1.4163244753911244,1.43276852938323,2.0059750195919435,2.0528256587909834,1.1079591819022456,1.114609946957672,-0.11115808844333563,-0.1438466723931202,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'absolute_error'}
23,1.4525984879794507,1.427109809090976,2.1100423672801862,2.036642407203682,1.2368428207397624,1.214918878968254,-0.1688035097458196,-0.13482926831042863,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'poisson'}
24,1.2979227191869473,1.310619248426689,1.6846033849816393,1.717722814346539,1.0162643388375165,1.0249259691798942,0.06685743403616962,0.042874626556833606,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'squared_error'}
25,1.0310903683622148,0.33964511638956285,1.0631473477293278,0.11535880508727968,0.7554973457067371,0.27571611044973543,0.411096966263903,0.9357213873641635,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'friedman_mse'}
26,1.4163244753911244,1.43276852938323,2.0059750195919435,2.0528256587909834,1.1079591819022456,1.114609946957672,-0.11115808844333563,-0.1438466723931202,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'absolute_error'}
27,1.4525984879794507,1.427109809090976,2.1100423672801862,2.036642407203682,1.2368428207397624,1.214918878968254,-0.1688035097458196,-0.13482926831042863,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'poisson'}
28,1.2979227191869473,1.310619248426689,1.6846033849816393,1.717722814346539,1.0162643388375165,1.0249259691798942,0.06685743403616962,0.042874626556833606,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'squared_error'}
