model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
21,0.9583468349509829,0.3724248980722622,0.9184286560605665,0.13870030470413489,0.7098892428699661,0.3020768494114874,-0.0408785475166753,0.852046027321132,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
22,0.9527889201947104,0.36414210927661406,0.9078067264458023,0.13259947574842154,0.7094683343357903,0.2962503530910575,-0.028840444615287897,0.8585538852711019,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
23,1.0538137764661708,0.37168230728047214,1.1105234754698925,0.13814773754533533,0.7698475157024092,0.3006927422977611,-0.2585844904800576,0.8526354601020525,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
24,0.8386615711296372,0.8027662015742563,0.7033532308896316,0.6444335743899594,0.6549823143791818,0.6255951533190501,0.20287190025211777,0.3125717520085961,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
25,0.8386615711296372,0.8027662015742563,0.7033532308896316,0.6444335743899594,0.6549823143791818,0.6255951533190501,0.20287190025211777,0.3125717520085961,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
26,0.8386615711296372,0.8027662015742563,0.7033532308896316,0.6444335743899594,0.6549823143791818,0.6255951533190501,0.20287190025211777,0.3125717520085961,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
27,0.7594963459513474,0.5404442366384791,0.5768346995134488,0.29207997291574833,0.5880303409268234,0.42109811096565136,0.34625856867081284,0.6884333280665615,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
28,0.7527307905055676,0.5417868450081249,0.5666036429751367,0.293532985423858,0.5820506215194405,0.42181845105135274,0.3578536851764732,0.6868833749256115,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
29,0.7539526972382056,0.5368837375988218,0.5684446696727653,0.2882441476980805,0.5843130058158988,0.4203559353260919,0.35576720281083507,0.6925250680282462,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
30,0.8610581325985237,0.33975733980796785,0.7414211077140569,0.11543504995338692,0.6539722210470871,0.2785746833302096,0.1597286075482386,0.8768634700304446,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
31,0.8729325252629488,0.3440608602543663,0.7620111936619489,0.11837787555897454,0.6612193817558795,0.2813439928073517,0.1363933396281226,0.8737243079343227,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
