,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
27,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'criterion': 'entropy', 'splitter': 'random'}",0.6489874638379943,0.9254997664484595,0.6712328767123288,0.9353546910755148,0.6308724832214765,0.967391304347826,0.5136612021857924,0.8713286713286713,0.5662650602409639,0.916850625459897
2121,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.648826743812279,0.7777882330641286,0.6872146118721462,0.8106407322654462,0.7169811320754716,0.9085106382978724,0.41530054644808745,0.5972027972027972,0.5259515570934257,0.7206751054852321
1604,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.6487303117968499,0.9816590959862984,0.6529680365296804,0.9811212814645309,0.5786802030456852,0.9696969696969697,0.6229508196721312,0.9846153846153847,0.6,0.9770992366412214
1601,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.6487303117968499,0.9756876231222794,0.6529680365296804,0.977116704805492,0.5786802030456852,0.9760225669957687,0.6229508196721312,0.9678321678321679,0.6,0.9719101123595505
53,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'log_loss', 'splitter': 'random'}",0.6485695917711347,0.8623528456055078,0.6689497716894978,0.8747139588100686,0.6233766233766234,0.8875,0.5245901639344263,0.7944055944055944,0.56973293768546,0.8383763837638375
125,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'criterion': 'log_loss', 'splitter': 'random'}",0.6485695917711347,0.8569202336869326,0.6689497716894978,0.8695652173913043,0.6233766233766234,0.8810641627543035,0.5245901639344263,0.7874125874125875,0.56973293768546,0.8316100443131463
2258,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}",0.6484088717454195,0.8046838930672425,0.684931506849315,0.8335240274599542,0.7027027027027027,0.924,0.4262295081967213,0.6461538461538462,0.5306122448979592,0.7604938271604939
1354,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.6483445837351335,0.7663895639694284,0.680365296803653,0.7923340961098398,0.6747967479674797,0.825925925925926,0.453551912568306,0.6237762237762238,0.5424836601307189,0.7107569721115538
2168,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}",0.6480874316939891,0.9754188696105445,0.6621004566210046,0.9765446224256293,0.6023391812865497,0.973314606741573,0.5628415300546448,0.9692307692307692,0.5819209039548022,0.9712683952347583
507,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'criterion': 'entropy', 'splitter': 'random'}",0.6480874316939891,0.8937665432341134,0.6621004566210046,0.9021739130434783,0.6023391812865497,0.907185628742515,0.5628415300546448,0.8475524475524475,0.5819209039548022,0.8763557483731019
