,model,hyperparams,roc_auc,accuracy,precision,recall,f1
107,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.6044921707513677,0.554369918699187,0.4722792607802875,0.8668341708542714,0.6114311032343819
97,LogisticRegression,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.603992659543451,0.608739837398374,0.5145089285714286,0.5791457286432161,0.5449172576832152
19,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6010770576431647,0.6067073170731707,0.5123873873873874,0.571608040201005,0.5403800475059382
4,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.6009355651980036,0.6036585365853658,0.5087145969498911,0.5866834170854272,0.544924154025671
0,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5974882947159004,0.5945121951219512,0.49897750511247446,0.6130653266331658,0.5501691093573844
13,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.596240588608572,0.6067073170731707,0.513095238095238,0.5414572864321608,0.5268948655256723
9,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5957925291988955,0.5970528455284553,0.5016042780748663,0.5891959798994975,0.5418833044482958
101,LogisticRegression,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.5934686229783731,0.5990853658536586,0.5039281705948373,0.5640703517587939,0.5323058684054535
20,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5927825990018352,0.5929878048780488,0.49736008447729674,0.5917085427135679,0.540447504302926
142,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.5923602654912788,0.6229674796747967,0.5425867507886435,0.4321608040201005,0.48111888111888107
16,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5907309585470013,0.5965447154471545,0.501123595505618,0.5603015075376885,0.5290628706998813
2,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5905658840276468,0.5929878048780488,0.4972972972972973,0.5778894472361809,0.5345729227193492
124,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.5892838767214914,0.6478658536585366,0.6484149855907781,0.28266331658291455,0.39370078740157477
3,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5885528324214931,0.584349593495935,0.48893360160965793,0.6105527638190955,0.5430167597765363
23,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5880061570651894,0.5899390243902439,0.4940923737916219,0.5778894472361809,0.5327156919513607
21,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5872836880648978,0.5873983739837398,0.49157894736842106,0.5866834170854272,0.5349369988545246
22,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5863940007203252,0.5899390243902439,0.49398907103825135,0.5678391959798995,0.5283459964932787
15,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5850198089423225,0.5863821138211383,0.4904051172707889,0.5778894472361809,0.5305651672433679
11,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5847582623012675,0.5894308943089431,0.49336283185840707,0.5603015075376885,0.5247058823529411
6,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5834312346716518,0.586890243902439,0.49073064340239914,0.5653266331658291,0.5253940455341506
150,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.5833712075737048,0.6377032520325203,0.6055979643765903,0.2989949748743719,0.400336417157275
10,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5825544102766392,0.5853658536585366,0.48917748917748916,0.5678391959798995,0.5255813953488372
8,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.58120380057283,0.5823170731707317,0.4861995753715499,0.5753768844221105,0.527042577675489
18,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5811802184986364,0.5818089430894309,0.4857444561774023,0.5778894472361809,0.527825588066552
14,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.5803741403262044,0.5818089430894309,0.48562300319488816,0.5728643216080402,0.5256484149855907
7,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.5797567187473203,0.5858739837398373,0.489337822671156,0.5477386934673367,0.5168938944872554
24,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5797095545989333,0.5848577235772358,0.48834628190899,0.5527638190954773,0.5185621685327048
12,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5795208980053853,0.5807926829268293,0.48459086078639746,0.5728643216080402,0.5250431778929188
