,model,hyperparams,mse,rmse,mae,r2
299,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
298,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
297,SVR,"{'C': 10, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
333,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
370,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
335,SVR,"{'C': 100, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
261,SVR,"{'C': 1, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
369,SVR,"{'C': 1000, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8988904614568232,0.9480983395496604,0.7288889539048181,0.0372905181056552
216,SVR,"{'C': 0.1, 'kernel': 'rbf', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8959784505786027,0.9465613823617582,0.7282359692619106,0.04040927462165911
104,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200}",0.8959579086457242,0.9465505314803453,0.7184789364844769,0.04043127498144328
272,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
236,SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
271,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
199,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
270,SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
380,SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8941676204405345,0.9456043678201442,0.7290489323986387,0.042348669262907146
