model,hyperparams,mse,rmse,mae,r2
52,0.9085587889210506,0.8254790729256862,0.6920797585282453,0.11591393536098438,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
53,0.8997273638584641,0.8095093292757011,0.6851135416488457,0.1330174916834599,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
54,0.9016636951758208,0.8129974191981155,0.6851811662243392,0.1292817559225461,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
55,0.8890178678257793,0.7903527693134947,0.6790487340784391,0.15353412046846726,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
56,0.8982079787184305,0.8067775730334484,0.6840061711054755,0.13594319592597515,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
57,0.9001583189801478,0.8102849992291655,0.6872788149504087,0.132186751063729,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
58,0.8964040706567796,0.8035402578900447,0.6825316169983973,0.13941035251297895,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
59,0.8959305726849986,0.8026915910716697,0.6826164859090375,0.14031927259618304,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
60,0.9033395498526514,0.816022342327991,0.6882110967541434,0.1260420706616603,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
61,0.9018747373652184,0.8133780418975817,0.6901416565374472,0.1288741099439623,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
62,0.8924536889562906,0.7964735869316916,0.6808769890726162,0.1469787397956831,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
63,0.8975233113967297,0.8055480945005511,0.6842021764356168,0.13725996442242516,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
64,0.8969472757007003,0.804514415386908,0.6832041654661543,0.13836703222057212,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
65,0.9040277545224086,0.8172661809468281,0.6936147758089544,0.12470992254835156,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
66,0.8894785985505386,0.7911721772794302,0.6787813755358088,0.15265653654454014,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
67,0.8909098298661119,0.7937203249520645,0.6794166910421532,0.1499274766302363,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
