model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.1384379287980115,1.1225558462423817,1.2960409177259065,1.2601316279329495,0.9185388892739274,0.8849458547960309,0.2695694184416919,0.307095894719159,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
1,1.1384379287980115,1.1225558462423817,1.2960409177259065,1.2601316279329495,0.9185388892739274,0.8849458547960309,0.2695694184416919,0.307095894719159,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.05}
2,1.1384379287980115,1.1225558462423817,1.2960409177259065,1.2601316279329495,0.9185388892739274,0.8849458547960309,0.2695694184416919,0.307095894719159,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
3,1.1384379287980115,1.1225558462423817,1.2960409177259065,1.2601316279329495,0.9185388892739274,0.8849458547960309,0.2695694184416919,0.307095894719159,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
4,1.016296503847429,0.9576726897768443,1.0328585837325073,0.9171369807444159,0.8307110080858087,0.7593524766262404,0.41789531050687323,0.49569714387289776,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
5,1.016296503847429,0.9576726897768443,1.0328585837325073,0.9171369807444159,0.8307110080858087,0.7593524766262404,0.41789531050687323,0.49569714387289776,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.05}
6,1.016296503847429,0.9576726897768443,1.0328585837325073,0.9171369807444159,0.8307110080858087,0.7593524766262404,0.41789531050687323,0.49569714387289776,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
7,1.016296503847429,0.9576726897768443,1.0328585837325073,0.9171369807444159,0.8307110080858087,0.7593524766262404,0.41789531050687323,0.49569714387289776,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
8,0.9008392047648782,0.6401288797804551,0.8115112728414181,0.40976498272898026,0.6862810080858085,0.5118944922822491,0.5426435671469763,0.7746839834510122,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
9,0.9000021832957561,0.6416735965887873,0.8100039299371278,0.4117450045591898,0.6879311731023101,0.5129970281146637,0.5434930845805157,0.773595235875532,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.05}
10,0.9029883134867047,0.6416735965887873,0.8153878942935633,0.4117450045591898,0.6912315031353135,0.5129970281146637,0.540458757375121,0.773595235875532,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
11,0.9168519111431412,0.6426432839816589,0.8406174269668306,0.4129903904467311,0.703002552310231,0.5129391630650496,0.5262397447105251,0.7729104399581788,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
12,1.0987451612075758,0.6283453698304896,1.2072409292770618,0.3948179037874147,0.8415772641914191,0.49408628787210584,0.3196158531783906,0.7829028806923715,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
13,1.102397761394029,0.6283453698304896,1.2152808243265667,0.3948179037874147,0.8482972288778878,0.49408628787210584,0.31508468048441274,0.7829028806923715,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}
14,1.1017444093202746,0.6283453698304896,1.2138407434684808,0.3948179037874147,0.8457901754125411,0.49408628787210584,0.3158962899670118,0.7829028806923715,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
15,1.094842186845001,0.6283453698304896,1.1986794140955437,0.3948179037874147,0.8427256414191419,0.49408628787210584,0.3244410037022101,0.7829028806923715,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
16,1.6884113849576527,1.5107723904695423,2.8507330048546193,2.2824332158050553,1.429429044059406,1.2751659941565603,-0.6066333540279403,-0.2550334506363374,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 2.0, 'min_impurity_decrease': 0}
17,1.6884113849576527,1.5107723904695423,2.8507330048546193,2.2824332158050553,1.429429044059406,1.2751659941565603,-0.6066333540279403,-0.2550334506363374,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}
