model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.35587426019562013,0.22576504558138824,0.5965519761057038,0.47514739353319435,0.4275649470984658,0.26935151982117,0.80475335917639,0.8744539332459627,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.35587426019562013,0.22576504558138824,0.5965519761057038,0.47514739353319435,0.4275649470984658,0.26935151982117,0.80475335917639,0.8744539332459627,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.3609752607418592,0.22431031346349478,0.6008121676047009,0.47361409761903706,0.42998973676155705,0.2995767634793974,0.8019547492939414,0.8752628976944316,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.3609752607418592,0.22431031346349478,0.6008121676047009,0.47361409761903706,0.42998973676155705,0.2995767634793974,0.8019547492939414,0.8752628976944316,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.42002225550718847,0.23104032684385087,0.6480912401099003,0.4806665443359366,0.47338542801570216,0.2968928986628839,0.7695592414751893,0.8715203931498069,0.9,DescFing
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.42002225550718847,0.23104032684385087,0.6480912401099003,0.4806665443359366,0.47338542801570216,0.2968928986628839,0.7695592414751893,0.8715203931498069,0.9,DescFing
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.4271605194405916,0.11986971813403814,0.6535751826994287,0.3462220647706297,0.47214825506250113,0.15044969184660162,0.7656429086290228,0.9333414453247664,0.9,Fingerprints
GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.42956878020085465,0.12206371549259001,0.6554149679408112,0.3493761804882955,0.506437202151736,0.2677919609487135,0.7643216418888821,0.9321213816159419,0.9,Descriptors
GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.42956878020085465,0.12206371549259001,0.6554149679408112,0.3493761804882955,0.506437202151736,0.2677919609487135,0.7643216418888821,0.9321213816159419,0.9,DescFing
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.43038148970766194,0.232600855097867,0.6560346711170546,0.4822871085752417,0.47923642843132574,0.2680818970841831,0.7638757574321576,0.870652596348731,0.9,DescFing
XGBRegressor,"{'max_depth': 3, 'eta': 0.2, 'gamma': 0.1}",0.43513726080715864,0.12551890158342732,0.6596493468557053,0.35428646824769827,0.5101887067883542,0.26685993769418914,0.7612665540264594,0.9301999813279088,0.9,DescFing
