model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4268718335904614,0.1830247995867483,0.6533542940782293,0.42781397778327473,0.5016575213338375,0.33334579394099373,0.5268606172198866,0.8017284431733149,0.9,DescFing
SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.4302984553093452,0.027308217401083815,0.6559713829957411,0.1652519815345154,0.5016220448921292,0.11057053243084859,0.5230625927134276,0.9704168900034327,0.9,Fingerprints
SVR,"{'C': 0.1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.4310861332007478,0.02864608264443725,0.6565714989250964,0.16925153660879197,0.5000665271034843,0.11138426099506393,0.5221895404245636,0.9689675748001219,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.43298555490141244,0.0323604813031341,0.6580163789005654,0.1798901923483715,0.4974416364783454,0.1132928422021485,0.5200842452507577,0.9649437506713828,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.43325464014552856,0.025582290406115066,0.6582208141235952,0.15994464794457822,0.5068396958296942,0.10900429356495957,0.5197859945434073,0.9722865941803219,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.4332546401456214,0.02558229040613885,0.6582208141236657,0.15994464794465255,0.5068396958298337,0.10900429356492956,0.5197859945433044,0.9722865941802962,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05}",0.4332590344182057,0.10393630503197465,0.6582241521079317,0.322391539950996,0.501326558336618,0.19349940538798802,0.5197811239867235,0.8874053513183309,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.43326239547803913,0.025580333635110804,0.6582267052300743,0.15993853080202658,0.5068363801300501,0.10900143210461877,0.519777398630188,0.9722887139588123,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 'scale'}",0.4332623954782826,0.02558033363512136,0.6582267052302593,0.15993853080205958,0.5068363801302833,0.10900143210458917,0.5197773986299181,0.9722887139588009,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.4332741459432176,0.02558131500058821,0.6582356310191797,0.15994159871837035,0.5068452843754319,0.10900244496669181,0.5197643745620616,0.972287650841347,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.4332741459432507,0.025581315000593033,0.6582356310192048,0.15994159871838542,0.506845284375466,0.10900244496669875,0.5197643745620248,0.9722876508413418,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.43327414594540803,0.025581315000915414,0.6582356310208435,0.15994159871939323,0.5068452843766887,0.10900244496738241,0.5197643745596338,0.9722876508409926,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.05}",0.43327414594947006,0.02558131500057916,0.658235631023929,0.15994159871834207,0.5068452843816539,0.1090024449668723,0.5197643745551315,0.9722876508413568,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.1, 'gamma': 0.1}",0.4332741460021463,0.025581315005419873,0.6582356310639422,0.15994159873347483,0.5068452843925849,0.10900244497710691,0.5197643744967457,0.9722876508361129,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4334575652302872,0.22071772172940865,0.6583749427418143,0.46980604692724914,0.5170052748725145,0.35560872587867887,0.5195610749263275,0.7608955376247414,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4334575652302872,0.22071772172940865,0.6583749427418143,0.46980604692724914,0.5170052748725145,0.35560872587867887,0.5195610749263275,0.7608955376247414,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.43367917708186493,0.23036102089989774,0.6585432233968131,0.47995939505326674,0.5180285484036568,0.3638612477977519,0.5193154431314388,0.7504489099338741,0.9,Fingerprints
SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05}",0.433706769203923,0.10175175373246473,0.6585641724265927,0.318985507088433,0.4977643404642647,0.14005577997712843,0.5192848603696523,0.889771885187509,0.9,Fingerprints
SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.43468318957234986,0.03346086117535711,0.6593050808027721,0.1829231018088123,0.5030720169010257,0.11628571919399935,0.5182026082881184,0.9637517043975499,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4347977900065877,0.22020743381254823,0.6593919850942895,0.46926264907037746,0.5182513656104398,0.35516574026928205,0.5180755866051332,0.7614483347316592,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4347977900065877,0.22020743381254823,0.6593919850942895,0.46926264907037746,0.5182513656104398,0.35516574026928205,0.5180755866051332,0.7614483347316592,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4350445360944015,0.22953818797196762,0.6595790597755522,0.47910143808171524,0.518915666879701,0.3632620017750216,0.5178020963382546,0.7513402884027883,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.43594784498803285,0.24990241484338466,0.6602634663435747,0.4999024053186628,0.5192811378824006,0.38412389771352334,0.5168008800977786,0.7292796333741569,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.43594784498803285,0.24990241484338466,0.6602634663435747,0.4999024053186628,0.5192811378824006,0.38412389771352334,0.5168008800977786,0.7292796333741569,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.43707129072429124,0.25802403698747833,0.6611136745857639,0.5079606648033668,0.520915557647564,0.3904525541020808,0.5155556669438224,0.7204814449860073,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4371017551009918,0.24869549689055015,0.6611367143798564,0.4986937907078352,0.5201353080208843,0.3834780961051022,0.515521900611039,0.7305870928114073,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4374227271610381,0.12483982393833233,0.6613794124109383,0.35332679482078955,0.5131971379750483,0.2661110052871745,0.5151661392081313,0.8647604788962459,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.43802235000191864,0.16822232267175494,0.661832569462941,0.41014914686215664,0.5155286268485146,0.307954017273387,0.5145015247770295,0.8177640304240784,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4381015352638691,0.16869070047120913,0.6618923894893105,0.4107197346989905,0.5155954110624041,0.30782037000840706,0.5144137568265199,0.8172566347285742,0.9,Fingerprints
