,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
43,,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.8221305226873488,0.8877572199490008,0.8201320132013201,0.8831312017640573,0.7724137931034483,0.8280542986425339,0.8389513108614233,0.9242424242424242,0.8043087971274686,0.873508353221957
44,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8218985118159823,0.9830817964379608,0.8234323432343235,0.9812568908489526,0.7941176470588235,0.9610705596107056,0.8089887640449438,0.9974747474747476,0.8014842300556585,0.9789343246592318
45,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8218985118159823,0.9847545909189744,0.8234323432343235,0.9834619625137816,0.7941176470588235,0.968058968058968,0.8089887640449438,0.9949494949494948,0.8014842300556585,0.9813200498132004
46,,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8217825063802989,0.8739622249896223,0.8250825082508251,0.8743109151047409,0.8060836501901141,0.8455882352941176,0.7940074906367042,0.8712121212121212,0.8000000000000002,0.8582089552238806
47,,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8216167843293228,0.9857330645001878,0.8217821782178217,0.9845644983461964,0.7849462365591398,0.9704433497536946,0.8202247191011236,0.9949494949494948,0.8021978021978021,0.9825436408977556
48,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8215007788936396,0.981945185712309,0.8234323432343235,0.9812568908489526,0.7962962962962963,0.9702233250620348,0.8052434456928839,0.9873737373737372,0.8007448789571695,0.9787234042553192
49,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8215007788936396,0.9938450058313072,0.8234323432343235,0.9933847850055126,0.7962962962962963,0.9875,0.8052434456928839,0.9974747474747476,0.8007448789571695,0.992462311557789
50,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8215007788936396,0.948486825199154,0.8234323432343235,0.9470782800441014,0.7962962962962963,0.9223300970873788,0.8052434456928839,0.9595959595959596,0.8007448789571695,0.9405940594059404
51,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8211030459712969,0.9951076320939336,0.8234323432343235,0.9944873208379272,0.7985074626865671,0.9875311720698254,0.8014981273408239,1.0,0.7999999999999999,0.9937264742785444
52,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8211030459712969,0.9938450058313072,0.8234323432343235,0.9933847850055126,0.7985074626865671,0.9875,0.8014981273408239,0.9974747474747476,0.7999999999999999,0.992462311557789
