,Classifier,Accuracy
117,"MLPClassifier-(50, 50)-relu-0.001-200",0.8456
118,"MLPClassifier-(50, 50)-relu-0.001-500",0.8411
119,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8406
120,"MLPClassifier-(50, 50)-relu-0.01-200",0.8491
121,"MLPClassifier-(50, 50)-relu-0.01-500",0.8470
122,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8431
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8425
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8425
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8431
126,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8380
127,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8393
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.8399
129,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8404
130,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8368
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8452
132,GradientBoostingClassifier-10-0.1,0.8455
133,GradientBoostingClassifier-10-0.5,0.8531
134,GradientBoostingClassifier-10-1.0,0.8002
135,GradientBoostingClassifier-10-2.0,0.7282
136,GradientBoostingClassifier-100-0.1,0.8722
137,GradientBoostingClassifier-100-0.5,0.8605
138,GradientBoostingClassifier-100-1.0,0.8377
139,GradientBoostingClassifier-100-2.0,0.7124
140,GradientBoostingClassifier-200-0.1,0.8721
141,GradientBoostingClassifier-200-0.5,0.8582
142,GradientBoostingClassifier-200-1.0,0.8519
143,GradientBoostingClassifier-200-2.0,0.7649
