,Classifier,Accuracy
35,RandomForestClassifier-100-None-10-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
36,RandomForestClassifier-100-10-2-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
37,RandomForestClassifier-100-10-2-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
38,RandomForestClassifier-100-10-2-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
39,RandomForestClassifier-100-10-5-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
40,RandomForestClassifier-100-10-5-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
41,RandomForestClassifier-100-10-5-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
42,RandomForestClassifier-100-10-10-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
43,RandomForestClassifier-100-10-10-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
44,RandomForestClassifier-100-10-10-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
45,RandomForestClassifier-100-20-2-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
46,RandomForestClassifier-100-20-2-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
47,RandomForestClassifier-100-20-2-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
48,RandomForestClassifier-100-20-5-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
49,RandomForestClassifier-100-20-5-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
50,RandomForestClassifier-100-20-5-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
51,RandomForestClassifier-100-20-10-1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
52,RandomForestClassifier-100-20-10-2,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
53,RandomForestClassifier-100-20-10-4,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
