Unnamed: 0,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.38641831501314716,0.23467447692871476,0.6216255424394554,0.4844321179780659,0.4529381376287173,0.2730607512790073,0.7745491947380584,0.8712369897550006,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.38641831501314716,0.23467447692871476,0.6216255424394554,0.4844321179780659,0.4529381376287173,0.2730607512790073,0.7745491947380584,0.8712369897550006,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.38933293534503544,0.23457591912211362,0.62396549211077,0.48433038220011926,0.4545667075442186,0.30550255297428,0.7728486969217614,0.8712910672159465,0.8,Fingerprints
,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.38933293534503544,0.23457591912211362,0.62396549211077,0.48433038220011926,0.4545667075442186,0.30550255297428,0.7728486969217614,0.8712910672159465,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4244293634934379,0.04339487114030288,0.6514824352915725,0.20831435653910865,0.466710284795126,0.1168519640978084,0.7523721364678243,0.9761897658818834,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4244293634934379,0.04339487114030288,0.6514824352915725,0.20831435653910865,0.466710284795126,0.1168519640978084,0.7523721364678243,0.9761897658818834,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.427462441896846,0.036953036275967986,0.6538061195009159,0.19223172546686457,0.4652437620658468,0.03956006548635104,0.7506025258104005,0.9797243217461963,0.8,Fingerprints
,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.427462441896846,0.036953036275967986,0.6538061195009159,0.19223172546686457,0.4652437620658468,0.03956006548635104,0.7506025258104005,0.9797243217461963,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4276297190306484,0.04176909439362191,0.65393403262917,0.2043748868956798,0.4704833447270308,0.11441277811795543,0.7505049301140984,0.9770818096636729,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4276297190306484,0.04176909439362191,0.65393403262917,0.2043748868956798,0.4704833447270308,0.11441277811795543,0.7505049301140984,0.9770818096636729,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4276297190307121,0.041769094393612906,0.6539340326292188,0.20437488689565778,0.47048334472701697,0.11441277811795142,0.7505049301140612,0.9770818096636779,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale'}",0.4276297190307121,0.041769094393612906,0.6539340326292188,0.20437488689565778,0.47048334472701697,0.11441277811795142,0.7505049301140612,0.9770818096636779,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.43100433335829547,0.03449853747609062,0.6565092027978705,0.1857378191863214,0.47024930187458386,0.034731501365793574,0.7485360547061337,0.9810710751650223,0.8,Fingerprints
,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.43100433335829547,0.03449853747609062,0.6565092027978705,0.1857378191863214,0.47024930187458386,0.034731501365793574,0.7485360547061337,0.9810710751650223,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.43100433335834876,0.03449853747610314,0.6565092027979111,0.1857378191863551,0.4702493018745997,0.03473150136577071,0.7485360547061026,0.9810710751650155,0.8,Fingerprints
,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 'scale'}",0.43100433335834876,0.03449853747610314,0.6565092027979111,0.1857378191863551,0.4702493018745997,0.03473150136577071,0.7485360547061026,0.9810710751650155,0.8,Fingerprints
,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.43740407398600106,0.11155287556468531,0.6613653105402498,0.33399532266887405,0.5061838542862385,0.2534692076842401,0.7448022081933598,0.9387923039301888,0.8,DescFing
,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.43740407398600106,0.11155287556468531,0.6613653105402498,0.33399532266887405,0.5061838542862385,0.2534692076842401,0.7448022081933598,0.9387923039301888,0.8,Descriptors
,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}",0.43933033110464964,0.11304113069352015,0.6628199839357966,0.3362158989303155,0.5071656541861571,0.25434955028781014,0.7436783582057471,0.9379757165751883,0.8,Descriptors
