Unnamed: 0,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4939607560437539,0.24035401087811234,0.7028234173985339,0.490259126256832,0.5354396766322524,0.37493383262108637,0.4489905550427673,0.7407661162510839,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.49585302042834056,0.17641440674478648,0.7041683182509283,0.4200171505364828,0.5356811498336914,0.3256555043007271,0.4468797485960886,0.8097281936647034,0.8,DescFing
,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4960634981595794,0.16980175593463612,0.7043177536876232,0.4120700861924293,0.5358995830381228,0.31975282290523893,0.4466449622968801,0.8168602699929823,0.8,DescFing
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.49622654224853885,0.2401098351719062,0.7044334902945336,0.49001003578692776,0.5392187732467473,0.37560854990624765,0.4464630878628043,0.7410294720253674,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.49644154439872756,0.1690914917449376,0.7045860801908647,0.4112073585734302,0.5335829582135712,0.3068298443449978,0.44622325460886536,0.8176263256277964,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4982497933300513,0.10855271840912052,0.7058681132690804,0.3294733956014059,0.5278201840308797,0.24595543500475806,0.4442061667576497,0.8829204360605851,0.8,DescFing
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4989575571630416,0.21717551403398266,0.7063692781846062,0.46602093733434624,0.5373322526680006,0.3526147924176548,0.4434166616157832,0.7657652903210886,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4989575571630416,0.21717551403398266,0.7063692781846062,0.46602093733434624,0.5373322526680006,0.3526147924176548,0.4434166616157832,0.7657652903210886,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.49896063073269004,0.1569700114569548,0.7063714537923301,0.3961944111884402,0.5374535936927167,0.3107179424078785,0.4434132330723507,0.8306999514864188,0.8,Descriptors
,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4993028298191674,0.24992264137376002,0.7066136354608277,0.4999226353884769,0.5393892374117091,0.38234057283218575,0.4430315126089379,0.7304458672297227,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4993516375566096,0.1230822774473582,0.7066481709851159,0.3508308387918003,0.5307917779611004,0.2581059516506783,0.44297706795116176,0.8672495762114787,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.49937659628609354,0.13099733959236934,0.7066658307050748,0.3619355461851866,0.5314622389896229,0.2666998990561387,0.442949226679337,0.8587127837840546,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4995425118249905,0.11711332398716905,0.7067832141647045,0.3422182402899779,0.5302345385022484,0.2504667435020133,0.4427641491648203,0.8736873925880319,0.8,DescFing
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4997040363503665,0.21625010936885888,0.7068974723044117,0.46502699853756757,0.5401626694204189,0.3525034983654279,0.4425839697922984,0.766763385774137,0.8,Fingerprints
,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4997040363503665,0.21625010936885888,0.7068974723044117,0.46502699853756757,0.5401626694204189,0.3525034983654279,0.4425839697922984,0.766763385774137,0.8,Fingerprints
