,Classifier,Accuracy
123,"MLPClassifier-(100,)-relu-0.0001-200",0.7959
124,"MLPClassifier-(100,)-relu-0.0001-500",0.7847
125,"MLPClassifier-(100,)-relu-0.0001-1000",0.7874
126,"MLPClassifier-(100,)-relu-0.001-200",0.8065
127,"MLPClassifier-(100,)-relu-0.001-500",0.8117
128,"MLPClassifier-(100,)-relu-0.001-1000",0.8091
129,"MLPClassifier-(100,)-relu-0.01-200",0.7985
130,"MLPClassifier-(100,)-relu-0.01-500",0.7992
131,"MLPClassifier-(100,)-relu-0.01-1000",0.7966
132,"MLPClassifier-(100,)-tanh-0.0001-200",0.8163
133,"MLPClassifier-(100,)-tanh-0.0001-500",0.8117
134,"MLPClassifier-(100,)-tanh-0.0001-1000",0.8064
135,"MLPClassifier-(100,)-tanh-0.001-200",0.8130
136,"MLPClassifier-(100,)-tanh-0.001-500",0.8064
137,"MLPClassifier-(100,)-tanh-0.001-1000",0.8163
138,"MLPClassifier-(100,)-tanh-0.01-200",0.8091
139,"MLPClassifier-(100,)-tanh-0.01-500",0.8183
140,"MLPClassifier-(100,)-tanh-0.01-1000",0.8064
141,"MLPClassifier-(50, 50)-relu-0.0001-200",0.8018
142,"MLPClassifier-(50, 50)-relu-0.0001-500",0.8078
143,"MLPClassifier-(50, 50)-relu-0.0001-1000",0.7999
144,"MLPClassifier-(50, 50)-relu-0.001-200",0.8091
145,"MLPClassifier-(50, 50)-relu-0.001-500",0.8104
146,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8025
147,"MLPClassifier-(50, 50)-relu-0.01-200",0.8038
148,"MLPClassifier-(50, 50)-relu-0.01-500",0.8018
149,"MLPClassifier-(50, 50)-relu-0.01-1000",0.7992
150,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8071
151,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8097
152,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8065
153,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8098
154,"MLPClassifier-(50, 50)-tanh-0.001-500",0.7986
155,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.7972
156,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8025
157,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8025
158,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8130
159,GradientBoostingClassifier-10-0.1,0.7762
160,GradientBoostingClassifier-10-0.5,0.7755
161,GradientBoostingClassifier-10-1.0,0.7696
162,GradientBoostingClassifier-10-2.0,0.7261
163,GradientBoostingClassifier-100-0.1,0.8150
164,GradientBoostingClassifier-100-0.5,0.8078
165,GradientBoostingClassifier-100-1.0,0.7966
166,GradientBoostingClassifier-100-2.0,0.7025
167,GradientBoostingClassifier-200-0.1,0.8104
168,GradientBoostingClassifier-200-0.5,0.8117
169,GradientBoostingClassifier-200-1.0,0.8018
170,GradientBoostingClassifier-200-2.0,0.6709
