,Classifier,Accuracy
123,"MLPClassifier-(100,)-relu-0.0001-200",0.8045
124,"MLPClassifier-(100,)-relu-0.0001-500",0.8038
125,"MLPClassifier-(100,)-relu-0.0001-1000",0.8058
126,"MLPClassifier-(100,)-relu-0.001-200",0.8051
127,"MLPClassifier-(100,)-relu-0.001-500",0.8130
128,"MLPClassifier-(100,)-relu-0.001-1000",0.7979
129,"MLPClassifier-(100,)-relu-0.01-200",0.8117
130,"MLPClassifier-(100,)-relu-0.01-500",0.8025
131,"MLPClassifier-(100,)-relu-0.01-1000",0.7966
132,"MLPClassifier-(100,)-tanh-0.0001-200",0.8117
133,"MLPClassifier-(100,)-tanh-0.0001-500",0.8018
134,"MLPClassifier-(100,)-tanh-0.0001-1000",0.8005
135,"MLPClassifier-(100,)-tanh-0.001-200",0.8038
136,"MLPClassifier-(100,)-tanh-0.001-500",0.8012
137,"MLPClassifier-(100,)-tanh-0.001-1000",0.8130
138,"MLPClassifier-(100,)-tanh-0.01-200",0.8176
139,"MLPClassifier-(100,)-tanh-0.01-500",0.8058
140,"MLPClassifier-(100,)-tanh-0.01-1000",0.8150
141,"MLPClassifier-(50, 50)-relu-0.0001-200",0.8150
142,"MLPClassifier-(50, 50)-relu-0.0001-500",0.8025
143,"MLPClassifier-(50, 50)-relu-0.0001-1000",0.7953
144,"MLPClassifier-(50, 50)-relu-0.001-200",0.8045
145,"MLPClassifier-(50, 50)-relu-0.001-500",0.7939
146,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8012
147,"MLPClassifier-(50, 50)-relu-0.01-200",0.7992
148,"MLPClassifier-(50, 50)-relu-0.01-500",0.8012
149,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8032
150,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.7887
151,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.7913
152,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.7887
153,"MLPClassifier-(50, 50)-tanh-0.001-200",0.7906
154,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8012
155,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.7808
156,"MLPClassifier-(50, 50)-tanh-0.01-200",0.7985
157,"MLPClassifier-(50, 50)-tanh-0.01-500",0.7808
158,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.7907
159,GradientBoostingClassifier-10-0.1,0.7531
160,GradientBoostingClassifier-10-0.5,0.7643
161,GradientBoostingClassifier-10-1.0,0.7531
162,GradientBoostingClassifier-10-2.0,0.6965
163,GradientBoostingClassifier-100-0.1,0.7920
164,GradientBoostingClassifier-100-0.5,0.8025
165,GradientBoostingClassifier-100-1.0,0.7893
166,GradientBoostingClassifier-100-2.0,0.5964
167,GradientBoostingClassifier-200-0.1,0.7979
168,GradientBoostingClassifier-200-0.5,0.8038
169,GradientBoostingClassifier-200-1.0,0.7946
170,GradientBoostingClassifier-200-2.0,0.5904
