,Classifier,Accuracy
123,"MLPClassifier-(100,)-relu-0.0001-200",0.7551
124,"MLPClassifier-(100,)-relu-0.0001-500",0.7518
125,"MLPClassifier-(100,)-relu-0.0001-1000",0.7762
126,"MLPClassifier-(100,)-relu-0.001-200",0.7512
127,"MLPClassifier-(100,)-relu-0.001-500",0.7742
128,"MLPClassifier-(100,)-relu-0.001-1000",0.7630
129,"MLPClassifier-(100,)-relu-0.01-200",0.7735
130,"MLPClassifier-(100,)-relu-0.01-500",0.7696
131,"MLPClassifier-(100,)-relu-0.01-1000",0.7814
132,"MLPClassifier-(100,)-tanh-0.0001-200",0.7472
133,"MLPClassifier-(100,)-tanh-0.0001-500",0.7485
134,"MLPClassifier-(100,)-tanh-0.0001-1000",0.7558
135,"MLPClassifier-(100,)-tanh-0.001-200",0.7492
136,"MLPClassifier-(100,)-tanh-0.001-500",0.7551
137,"MLPClassifier-(100,)-tanh-0.001-1000",0.7433
138,"MLPClassifier-(100,)-tanh-0.01-200",0.7558
139,"MLPClassifier-(100,)-tanh-0.01-500",0.7492
140,"MLPClassifier-(100,)-tanh-0.01-1000",0.7544
141,"MLPClassifier-(50, 50)-relu-0.0001-200",0.7702
142,"MLPClassifier-(50, 50)-relu-0.0001-500",0.7841
143,"MLPClassifier-(50, 50)-relu-0.0001-1000",0.7683
144,"MLPClassifier-(50, 50)-relu-0.001-200",0.7893
145,"MLPClassifier-(50, 50)-relu-0.001-500",0.7755
146,"MLPClassifier-(50, 50)-relu-0.001-1000",0.7623
147,"MLPClassifier-(50, 50)-relu-0.01-200",0.7781
148,"MLPClassifier-(50, 50)-relu-0.01-500",0.7696
149,"MLPClassifier-(50, 50)-relu-0.01-1000",0.7762
150,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.7393
151,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.7492
152,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.7459
153,"MLPClassifier-(50, 50)-tanh-0.001-200",0.7479
154,"MLPClassifier-(50, 50)-tanh-0.001-500",0.7393
155,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.7413
156,"MLPClassifier-(50, 50)-tanh-0.01-200",0.7518
157,"MLPClassifier-(50, 50)-tanh-0.01-500",0.7531
158,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.7472
159,GradientBoostingClassifier-10-0.1,0.7762
160,GradientBoostingClassifier-10-0.5,0.8104
161,GradientBoostingClassifier-10-1.0,0.7874
162,GradientBoostingClassifier-10-2.0,0.7617
163,GradientBoostingClassifier-100-0.1,0.8216
164,GradientBoostingClassifier-100-0.5,0.7972
165,GradientBoostingClassifier-100-1.0,0.7762
166,GradientBoostingClassifier-100-2.0,0.7360
167,GradientBoostingClassifier-200-0.1,0.8170
168,GradientBoostingClassifier-200-0.5,0.7946
169,GradientBoostingClassifier-200-1.0,0.7874
170,GradientBoostingClassifier-200-2.0,0.7531
