,Classifier,Accuracy
108,RandomForestRegressor-100-20-10-4,-0.6452
109,RandomForestRegressor-200-None-2-1,-0.6344
110,RandomForestRegressor-200-None-2-2,-0.6337
111,RandomForestRegressor-200-None-2-4,-0.6428
112,RandomForestRegressor-200-None-5-1,-0.6320
113,RandomForestRegressor-200-None-5-2,-0.6405
114,RandomForestRegressor-200-None-5-4,-0.6441
115,RandomForestRegressor-200-None-10-1,-0.6384
116,RandomForestRegressor-200-None-10-2,-0.6469
117,RandomForestRegressor-200-None-10-4,-0.6472
118,RandomForestRegressor-200-10-2-1,-0.6350
119,RandomForestRegressor-200-10-2-2,-0.6375
120,RandomForestRegressor-200-10-2-4,-0.6444
121,RandomForestRegressor-200-10-5-1,-0.6374
122,RandomForestRegressor-200-10-5-2,-0.6392
123,RandomForestRegressor-200-10-5-4,-0.6395
124,RandomForestRegressor-200-10-10-1,-0.6389
125,RandomForestRegressor-200-10-10-2,-0.6463
126,RandomForestRegressor-200-10-10-4,-0.6441
127,RandomForestRegressor-200-20-2-1,-0.6327
128,RandomForestRegressor-200-20-2-2,-0.6371
129,RandomForestRegressor-200-20-2-4,-0.6427
130,RandomForestRegressor-200-20-5-1,-0.6372
131,RandomForestRegressor-200-20-5-2,-0.6327
132,RandomForestRegressor-200-20-5-4,-0.6385
133,RandomForestRegressor-200-20-10-1,-0.6355
134,RandomForestRegressor-200-20-10-2,-0.6474
135,RandomForestRegressor-200-20-10-4,-0.6416
136,GradientBoostingRegressor-10-0.1,-0.9848
137,GradientBoostingRegressor-10-0.5,-0.7262
138,GradientBoostingRegressor-10-1.0,-1.0493
139,GradientBoostingRegressor-10-2.0,-2.4298
140,GradientBoostingRegressor-100-0.1,-0.6182
141,GradientBoostingRegressor-100-0.5,-0.7250
142,GradientBoostingRegressor-100-1.0,-1.1738
143,GradientBoostingRegressor-100-2.0,-2.4803
144,GradientBoostingRegressor-200-0.1,-0.6134
145,GradientBoostingRegressor-200-0.5,-0.7325
146,GradientBoostingRegressor-200-1.0,-1.2194
147,GradientBoostingRegressor-200-2.0,-2.4976
