,Classifier,Accuracy
114,"MLPRegressor-(100,)-tanh-0.001-1000",-2.9809
115,"MLPRegressor-(100,)-tanh-0.01-200",-3.5924
116,"MLPRegressor-(100,)-tanh-0.01-500",-3.2202
117,"MLPRegressor-(100,)-tanh-0.01-1000",-3.3122
118,"MLPRegressor-(50, 50)-relu-0.0001-200",-0.9989
119,"MLPRegressor-(50, 50)-relu-0.0001-500",-1.4317
120,"MLPRegressor-(50, 50)-relu-0.0001-1000",-1.3829
121,"MLPRegressor-(50, 50)-relu-0.001-200",-1.2687
122,"MLPRegressor-(50, 50)-relu-0.001-500",-1.3755
123,"MLPRegressor-(50, 50)-relu-0.001-1000",-1.4550
124,"MLPRegressor-(50, 50)-relu-0.01-200",-1.2370
125,"MLPRegressor-(50, 50)-relu-0.01-500",-1.4379
126,"MLPRegressor-(50, 50)-relu-0.01-1000",-1.4154
127,"MLPRegressor-(50, 50)-tanh-0.0001-200",-4.3698
128,"MLPRegressor-(50, 50)-tanh-0.0001-500",-3.1168
129,"MLPRegressor-(50, 50)-tanh-0.0001-1000",-3.0607
130,"MLPRegressor-(50, 50)-tanh-0.001-200",-3.7230
131,"MLPRegressor-(50, 50)-tanh-0.001-500",-3.3370
132,"MLPRegressor-(50, 50)-tanh-0.001-1000",-2.7859
133,"MLPRegressor-(50, 50)-tanh-0.01-200",-3.7231
134,"MLPRegressor-(50, 50)-tanh-0.01-500",-3.7342
135,"MLPRegressor-(50, 50)-tanh-0.01-1000",-3.7472
136,GradientBoostingRegressor-10-0.1,-1.1763
137,GradientBoostingRegressor-10-0.5,-0.8761
138,GradientBoostingRegressor-10-1.0,-1.3202
139,GradientBoostingRegressor-10-2.0,-2.2690
140,GradientBoostingRegressor-100-0.1,-0.7475
141,GradientBoostingRegressor-100-0.5,-0.8642
142,GradientBoostingRegressor-100-1.0,-1.4484
143,GradientBoostingRegressor-100-2.0,-2.3050
144,GradientBoostingRegressor-200-0.1,-0.7343
145,GradientBoostingRegressor-200-0.5,-0.8649
146,GradientBoostingRegressor-200-1.0,-1.5045
147,GradientBoostingRegressor-200-2.0,-2.3050
