,Classifier,Accuracy
114,"MLPRegressor-(100,)-tanh-0.001-1000",-37.3671
115,"MLPRegressor-(100,)-tanh-0.01-200",-39.2876
116,"MLPRegressor-(100,)-tanh-0.01-500",-39.4865
117,"MLPRegressor-(100,)-tanh-0.01-1000",-39.2421
118,"MLPRegressor-(50, 50)-relu-0.0001-200",-2.7577
119,"MLPRegressor-(50, 50)-relu-0.0001-500",-2.9397
120,"MLPRegressor-(50, 50)-relu-0.0001-1000",-2.9472
121,"MLPRegressor-(50, 50)-relu-0.001-200",-2.5280
122,"MLPRegressor-(50, 50)-relu-0.001-500",-2.4836
123,"MLPRegressor-(50, 50)-relu-0.001-1000",-2.7267
124,"MLPRegressor-(50, 50)-relu-0.01-200",-2.4644
125,"MLPRegressor-(50, 50)-relu-0.01-500",-2.8660
126,"MLPRegressor-(50, 50)-relu-0.01-1000",-2.8839
127,"MLPRegressor-(50, 50)-tanh-0.0001-200",-29.6092
128,"MLPRegressor-(50, 50)-tanh-0.0001-500",-34.8533
129,"MLPRegressor-(50, 50)-tanh-0.0001-1000",-30.0334
130,"MLPRegressor-(50, 50)-tanh-0.001-200",-28.5355
131,"MLPRegressor-(50, 50)-tanh-0.001-500",-33.5307
132,"MLPRegressor-(50, 50)-tanh-0.001-1000",-29.0575
133,"MLPRegressor-(50, 50)-tanh-0.01-200",-31.9496
134,"MLPRegressor-(50, 50)-tanh-0.01-500",-34.5018
135,"MLPRegressor-(50, 50)-tanh-0.01-1000",-33.2261
136,GradientBoostingRegressor-10-0.1,-1.1469
137,GradientBoostingRegressor-10-0.5,-0.9377
138,GradientBoostingRegressor-10-1.0,-1.4080
139,GradientBoostingRegressor-10-2.0,-2.8763
140,GradientBoostingRegressor-100-0.1,-0.7963
141,GradientBoostingRegressor-100-0.5,-0.9425
142,GradientBoostingRegressor-100-1.0,-1.5936
143,GradientBoostingRegressor-100-2.0,-3.4377
144,GradientBoostingRegressor-200-0.1,-0.7864
145,GradientBoostingRegressor-200-0.5,-0.9495
146,GradientBoostingRegressor-200-1.0,-1.6105
147,GradientBoostingRegressor-200-2.0,-67.9103
