,Classifier,Accuracy
123,"MLPClassifier-(100,)-relu-0.0001-200",0.7591
124,"MLPClassifier-(100,)-relu-0.0001-500",0.7584
125,"MLPClassifier-(100,)-relu-0.0001-1000",0.7446
126,"MLPClassifier-(100,)-relu-0.001-200",0.7630
127,"MLPClassifier-(100,)-relu-0.001-500",0.7518
128,"MLPClassifier-(100,)-relu-0.001-1000",0.7617
129,"MLPClassifier-(100,)-relu-0.01-200",0.7558
130,"MLPClassifier-(100,)-relu-0.01-500",0.7525
131,"MLPClassifier-(100,)-relu-0.01-1000",0.7630
132,"MLPClassifier-(100,)-tanh-0.0001-200",0.7386
133,"MLPClassifier-(100,)-tanh-0.0001-500",0.7439
134,"MLPClassifier-(100,)-tanh-0.0001-1000",0.7393
135,"MLPClassifier-(100,)-tanh-0.001-200",0.7452
136,"MLPClassifier-(100,)-tanh-0.001-500",0.7419
137,"MLPClassifier-(100,)-tanh-0.001-1000",0.7531
138,"MLPClassifier-(100,)-tanh-0.01-200",0.7459
139,"MLPClassifier-(100,)-tanh-0.01-500",0.7512
140,"MLPClassifier-(100,)-tanh-0.01-1000",0.7465
141,"MLPClassifier-(50, 50)-relu-0.0001-200",0.7623
142,"MLPClassifier-(50, 50)-relu-0.0001-500",0.7406
143,"MLPClassifier-(50, 50)-relu-0.0001-1000",0.7492
144,"MLPClassifier-(50, 50)-relu-0.001-200",0.7485
145,"MLPClassifier-(50, 50)-relu-0.001-500",0.7512
146,"MLPClassifier-(50, 50)-relu-0.001-1000",0.7452
147,"MLPClassifier-(50, 50)-relu-0.01-200",0.7564
148,"MLPClassifier-(50, 50)-relu-0.01-500",0.7544
149,"MLPClassifier-(50, 50)-relu-0.01-1000",0.7531
150,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.7525
151,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.7498
152,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.7466
153,"MLPClassifier-(50, 50)-tanh-0.001-200",0.7577
154,"MLPClassifier-(50, 50)-tanh-0.001-500",0.7419
155,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.7413
156,"MLPClassifier-(50, 50)-tanh-0.01-200",0.7544
157,"MLPClassifier-(50, 50)-tanh-0.01-500",0.7591
158,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.7465
159,GradientBoostingClassifier-10-0.1,0.7498
160,GradientBoostingClassifier-10-0.5,0.7689
161,GradientBoostingClassifier-10-1.0,0.7294
162,GradientBoostingClassifier-10-2.0,0.6847
163,GradientBoostingClassifier-100-0.1,0.7966
164,GradientBoostingClassifier-100-0.5,0.7920
165,GradientBoostingClassifier-100-1.0,0.7847
166,GradientBoostingClassifier-100-2.0,0.6879
167,GradientBoostingClassifier-200-0.1,0.7966
168,GradientBoostingClassifier-200-0.5,0.7933
169,GradientBoostingClassifier-200-1.0,0.7656
170,GradientBoostingClassifier-200-2.0,0.6761
