,Classifier,Accuracy
117,"MLPClassifier-(50, 50)-relu-0.001-200",0.8584
118,"MLPClassifier-(50, 50)-relu-0.001-500",0.8652
119,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8586
120,"MLPClassifier-(50, 50)-relu-0.01-200",0.8629
121,"MLPClassifier-(50, 50)-relu-0.01-500",0.8643
122,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8601
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8580
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8563
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8600
126,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8669
127,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8568
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.8619
129,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8504
130,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8594
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8566
132,GradientBoostingClassifier-10-0.1,0.8253
133,GradientBoostingClassifier-10-0.5,0.8199
134,GradientBoostingClassifier-10-1.0,0.8129
135,GradientBoostingClassifier-10-2.0,0.7257
136,GradientBoostingClassifier-100-0.1,0.8626
137,GradientBoostingClassifier-100-0.5,0.8483
138,GradientBoostingClassifier-100-1.0,0.8437
139,GradientBoostingClassifier-100-2.0,0.7053
140,GradientBoostingClassifier-200-0.1,0.8653
141,GradientBoostingClassifier-200-0.5,0.8529
142,GradientBoostingClassifier-200-1.0,0.8458
143,GradientBoostingClassifier-200-2.0,0.7004
