,Classifier,Accuracy
117,"MLPClassifier-(50, 50)-relu-0.001-200",0.8688
118,"MLPClassifier-(50, 50)-relu-0.001-500",0.8749
119,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8609
120,"MLPClassifier-(50, 50)-relu-0.01-200",0.8751
121,"MLPClassifier-(50, 50)-relu-0.01-500",0.8608
122,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8700
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8748
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8710
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8687
126,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8688
127,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8734
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.8704
129,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8636
130,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8736
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8717
132,GradientBoostingClassifier-10-0.1,0.8464
133,GradientBoostingClassifier-10-0.5,0.8549
134,GradientBoostingClassifier-10-1.0,0.8201
135,GradientBoostingClassifier-10-2.0,0.7264
136,GradientBoostingClassifier-100-0.1,0.8793
137,GradientBoostingClassifier-100-0.5,0.8642
138,GradientBoostingClassifier-100-1.0,0.8486
139,GradientBoostingClassifier-100-2.0,0.7302
140,GradientBoostingClassifier-200-0.1,0.8776
141,GradientBoostingClassifier-200-0.5,0.8629
142,GradientBoostingClassifier-200-1.0,0.8476
143,GradientBoostingClassifier-200-2.0,0.7293
