,Classifier,Accuracy
117,"MLPClassifier-(50, 50)-relu-0.001-200",0.8597
118,"MLPClassifier-(50, 50)-relu-0.001-500",0.8553
119,"MLPClassifier-(50, 50)-relu-0.001-1000",0.8527
120,"MLPClassifier-(50, 50)-relu-0.01-200",0.8513
121,"MLPClassifier-(50, 50)-relu-0.01-500",0.8570
122,"MLPClassifier-(50, 50)-relu-0.01-1000",0.8558
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",0.8454
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",0.8486
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",0.8399
126,"MLPClassifier-(50, 50)-tanh-0.001-200",0.8450
127,"MLPClassifier-(50, 50)-tanh-0.001-500",0.8442
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",0.8442
129,"MLPClassifier-(50, 50)-tanh-0.01-200",0.8477
130,"MLPClassifier-(50, 50)-tanh-0.01-500",0.8464
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",0.8471
132,GradientBoostingClassifier-10-0.1,0.8400
133,GradientBoostingClassifier-10-0.5,0.8732
134,GradientBoostingClassifier-10-1.0,0.8439
135,GradientBoostingClassifier-10-2.0,0.7324
136,GradientBoostingClassifier-100-0.1,0.8845
137,GradientBoostingClassifier-100-0.5,0.8705
138,GradientBoostingClassifier-100-1.0,0.8508
139,GradientBoostingClassifier-100-2.0,0.6797
140,GradientBoostingClassifier-200-0.1,0.8869
141,GradientBoostingClassifier-200-0.5,0.8714
142,GradientBoostingClassifier-200-1.0,0.8564
143,GradientBoostingClassifier-200-2.0,0.7470
