,Classifier,Accuracy
71,"MLPRegressor-(50,)-tanh-0.01-500",MAE: 1.1881654474437815 | RMSE: 1.5130274415486291 | MSE: 2.2892520388791904 | R2: -0.40745816038709903
72,"MLPRegressor-(50,)-tanh-0.01-1000",MAE: 1.2049439870695637 | RMSE: 1.4439521957145391 | MSE: 2.0849979435088386 | R2: -0.2818804221393547
73,"MLPRegressor-(100,)-relu-0.0001-200",MAE: 12897.583123221302 | RMSE: 211842.99082379602 | MSE: 44877452761.17092 | R2: -27591167783.662544
74,"MLPRegressor-(100,)-relu-0.0001-500",MAE: 16139.306509492622 | RMSE: 255541.52682053982 | MSE: 65301471929.772675 | R2: -40148086794.128944
75,"MLPRegressor-(100,)-relu-0.0001-1000",MAE: 13218.928786436642 | RMSE: 195963.4828653874 | MSE: 38401686616.73299 | R2: -23609793190.583645
76,"MLPRegressor-(100,)-relu-0.001-200",MAE: 2187.2181359763595 | RMSE: 21295.101602360643 | MSE: 453481352.25486284 | R2: -278805486.1087813
77,"MLPRegressor-(100,)-relu-0.001-500",MAE: 3823.37152235987 | RMSE: 19248.034451987605 | MSE: 370486830.2649018 | R2: -227779511.13601786
78,"MLPRegressor-(100,)-relu-0.001-1000",MAE: 29181.475932726218 | RMSE: 452128.4115013203 | MSE: 204420100486.70724 | R2: -125679800078.1691
79,"MLPRegressor-(100,)-relu-0.01-200",MAE: 3892.5353376749645 | RMSE: 54001.68165533323 | MSE: 2916181621.603954 | R2: -1792901589.0350008
80,"MLPRegressor-(100,)-relu-0.01-500",MAE: 363.4199787587076 | RMSE: 3650.8816926677814 | MSE: 13328937.133856766 | R2: -8194780.972332818
81,"MLPRegressor-(100,)-relu-0.01-1000",MAE: 13200.634142099094 | RMSE: 159817.4830973745 | MSE: 25541627903.579582 | R2: -15703282997.959044
82,"MLPRegressor-(100,)-tanh-0.0001-200",MAE: 1.2234046770037093 | RMSE: 1.4968174022407283 | MSE: 2.2404623356506823 | R2: -0.37746169657027573
83,"MLPRegressor-(100,)-tanh-0.0001-500",MAE: 1.0900896936457438 | RMSE: 1.3581185576946868 | MSE: 1.8444860167546961 | R2: -0.13401095725235357
84,"MLPRegressor-(100,)-tanh-0.0001-1000",MAE: 1.171503565498199 | RMSE: 1.4405791637554726 | MSE: 2.0752683270464165 | R2: -0.2758985434056451
85,"MLPRegressor-(100,)-tanh-0.001-200",MAE: 1.579339682923652 | RMSE: 1.8860773936699868 | MSE: 3.5572879349129707 | R2: -1.1870610346998367
86,"MLPRegressor-(100,)-tanh-0.001-500",MAE: 1.0508869671320131 | RMSE: 1.2713071116838692 | MSE: 1.6162217722179817 | R2: 0.0063284934684543215
87,"MLPRegressor-(100,)-tanh-0.001-1000",MAE: 1.2456043582138472 | RMSE: 1.5035153258732812 | MSE: 2.260558335135839 | R2: -0.3898169453529161
88,"MLPRegressor-(100,)-tanh-0.01-200",MAE: 1.3202377556576732 | RMSE: 1.5932734312784413 | MSE: 2.538520226817778 | R2: -0.5607110741251764
89,"MLPRegressor-(100,)-tanh-0.01-500",MAE: 1.1820348439697885 | RMSE: 1.49992950510894 | MSE: 2.2497885202963497 | R2: -0.3831955408398864
90,"MLPRegressor-(100,)-tanh-0.01-1000",MAE: 1.0989838963402965 | RMSE: 1.378735710171374 | MSE: 1.900912158501763 | R2: -0.16870239022360067
91,"MLPRegressor-(50, 50)-relu-0.0001-200",MAE: 7118.14203603751 | RMSE: 98248.50072132147 | MSE: 9652767893.987507 | R2: -5934631359.8032875
92,"MLPRegressor-(50, 50)-relu-0.0001-500",MAE: 1000.9803487278883 | RMSE: 15539.912211128749 | MSE: 241488871.5295884 | R2: -148470100.63345653
93,"MLPRegressor-(50, 50)-relu-0.0001-1000",MAE: 2803.834350789503 | RMSE: 46007.7529757906 | MSE: 2116713333.8813689 | R2: -1301379403.4408119
94,"MLPRegressor-(50, 50)-relu-0.001-200",MAE: 19217.90786129837 | RMSE: 325379.34897681006 | MSE: 105871720740.57274 | R2: -65091136658.420845
95,"MLPRegressor-(50, 50)-relu-0.001-500",MAE: 9390.119150189237 | RMSE: 157077.99406136462 | MSE: 24673496218.3421 | R2: -15169545775.527073
96,"MLPRegressor-(50, 50)-relu-0.001-1000",MAE: 2712.1458247609544 | RMSE: 37703.7791615838 | MSE: 1421574963.0654807 | R2: -874000435.9934242
97,"MLPRegressor-(50, 50)-relu-0.01-200",MAE: 66525.01880734468 | RMSE: 1133706.6759408512 | MSE: 1285290827072.8545 | R2: -790211401937.9711
98,"MLPRegressor-(50, 50)-relu-0.01-500",MAE: 10171.896821756516 | RMSE: 173858.33097092924 | MSE: 30226719247.997177 | R2: -18583730381.15235
99,"MLPRegressor-(50, 50)-relu-0.01-1000",MAE: 609.027638386846 | RMSE: 5677.216119395855 | MSE: 32230782.866328124 | R2: -19815850.46172372
100,"MLPRegressor-(50, 50)-tanh-0.0001-200",MAE: 1.0814392359260852 | RMSE: 1.3502871784563788 | MSE: 1.8232754643036884 | R2: -0.12097046864450878
101,"MLPRegressor-(50, 50)-tanh-0.0001-500",MAE: 1.0790581473511607 | RMSE: 1.3077728689814143 | MSE: 1.7102698768438795 | R2: -0.05149334968231867
102,"MLPRegressor-(50, 50)-tanh-0.0001-1000",MAE: 1.0211414549654048 | RMSE: 1.24180018288756 | MSE: 1.5420676942195777 | R2: 0.051919263043976316
103,"MLPRegressor-(50, 50)-tanh-0.001-200",MAE: 1.0880659864413833 | RMSE: 1.3301950193885648 | MSE: 1.769418789606144 | R2: -0.08785877320555469
104,"MLPRegressor-(50, 50)-tanh-0.001-500",MAE: 1.2404194572534626 | RMSE: 1.5143700188714897 | MSE: 2.2933165540568363 | R2: -0.4099570704929498
105,"MLPRegressor-(50, 50)-tanh-0.001-1000",MAE: 1.0242346047964015 | RMSE: 1.2939771940362041 | MSE: 1.6743769786858085 | R2: -0.029425988136032144
106,"MLPRegressor-(50, 50)-tanh-0.01-200",MAE: 1.2314172610984981 | RMSE: 1.5029309719234527 | MSE: 2.258801506366774 | R2: -0.388736827067367
107,"MLPRegressor-(50, 50)-tanh-0.01-500",MAE: 1.0992829095044174 | RMSE: 1.3408705815776496 | MSE: 1.7979339165403843 | R2: -0.10539019718878717
108,"MLPRegressor-(50, 50)-tanh-0.01-1000",MAE: 1.0664493753971036 | RMSE: 1.2901163714405228 | MSE: 1.6644002518588612 | R2: -0.02329218314293291
109,GradientBoostingRegressor-10-0.1,MAE: 0.8567124973163143 | RMSE: 1.09059462030517 | MSE: 1.1893966258385777 | R2: 0.2687454423790817
110,GradientBoostingRegressor-10-0.5,MAE: 0.8342575914424272 | RMSE: 1.12647742511693 | MSE: 1.2689513892980688 | R2: 0.21983427002798217
111,GradientBoostingRegressor-10-1.0,MAE: 0.9518666113472749 | RMSE: 1.2690228528255383 | MSE: 1.6104190009934676 | R2: 0.009896103139253376
112,GradientBoostingRegressor-10-2.0,MAE: 1.4990689461042859 | RMSE: 1.9918189069130854 | MSE: 3.967342557936438 | R2: -1.439167275330902
113,GradientBoostingRegressor-100-0.1,MAE: 0.797461914036865 | RMSE: 1.0916064835081227 | MSE: 1.1916047148369693 | R2: 0.2673878841780334
114,GradientBoostingRegressor-100-0.5,MAE: 0.8458338530490359 | RMSE: 1.1311734242776401 | MSE: 1.2795533157920023 | R2: 0.21331608517708367
115,GradientBoostingRegressor-100-1.0,MAE: 0.9668784653082044 | RMSE: 1.2964461014986677 | MSE: 1.680772494091094 | R2: -0.03335802366299734
116,GradientBoostingRegressor-100-2.0,MAE: 1.6325892141839269 | RMSE: 2.3027585485401167 | MSE: 5.302696932874585 | R2: -2.2601583152408122
117,GradientBoostingRegressor-200-0.1,MAE: 0.7992904132471141 | RMSE: 1.094250032743446 | MSE: 1.1973831341590324 | R2: 0.2638352463335093
118,GradientBoostingRegressor-200-0.5,MAE: 0.8415783536799424 | RMSE: 1.1281922171033434 | MSE: 1.2728176787325574 | R2: 0.21745723136095385
119,GradientBoostingRegressor-200-1.0,MAE: 0.9666855583243124 | RMSE: 1.2983854220165851 | MSE: 1.685804704105186 | R2: -0.03645188354772344
120,GradientBoostingRegressor-200-2.0,MAE: 1.591027078202458 | RMSE: 2.191640879522464 | MSE: 4.803289744793998 | R2: -1.9531171025292005
121,SVR-0.01-2-0.01,MAE: 1.066777923258851 | RMSE: 1.348285234342436 | MSE: 1.8178730731458377 | R2: -0.11764901718718357
122,SVR-0.01-2-0.1,MAE: 1.0647905200965522 | RMSE: 1.3429057407151963 | MSE: 1.80339582844583 | R2: -0.10874824267791494
123,SVR-0.01-2-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
124,SVR-0.01-3-0.01,MAE: 1.0667779897336287 | RMSE: 1.3482854174544636 | MSE: 1.8178735669203572 | R2: -0.1176493207653675
125,SVR-0.01-3-0.1,MAE: 1.0647905344463955 | RMSE: 1.3429057788742191 | MSE: 1.8033959309337733 | R2: -0.10874830568866689
126,SVR-0.01-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
127,SVR-0.01-4-0.01,MAE: 1.0667778257219158 | RMSE: 1.348284965681294 | MSE: 1.8178723486822086 | R2: -0.11764857177871413
128,SVR-0.01-4-0.1,MAE: 1.064790492376609 | RMSE: 1.3429056670156752 | MSE: 1.8033956305028156 | R2: -0.10874812098030118
129,SVR-0.01-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
130,SVR-0.1-2-0.01,MAE: 1.0667779245998705 | RMSE: 1.348285238036299 | MSE: 1.8178730831065997 | R2: -0.1176490233111731
131,SVR-0.1-2-0.1,MAE: 1.064790515747759 | RMSE: 1.3429057291522728 | MSE: 1.8033957973899974 | R2: -0.10874822358443637
132,SVR-0.1-2-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.640076147960437 | R2: -0.008337447733937964
133,SVR-0.1-3-0.01,MAE: 1.0667779414739464 | RMSE: 1.34828528452218 | MSE: 1.8178732084590556 | R2: -0.117649100379287
134,SVR-0.1-3-0.1,MAE: 1.0647905422513189 | RMSE: 1.342905799626589 | MSE: 1.803395986670728 | R2: -0.10874833995638
135,SVR-0.1-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
136,SVR-0.1-4-0.01,MAE: 1.066777586408951 | RMSE: 1.348284306491799 | MSE: 1.8178705711320717 | R2: -0.11764747892069627
137,SVR-0.1-4-0.1,MAE: 1.0647903986962841 | RMSE: 1.3429054179311724 | MSE: 1.8033949615088967 | R2: -0.10874770967523961
138,SVR-0.1-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
139,SVR-1-2-0.01,MAE: 1.0667779168324762 | RMSE: 1.3482852166408703 | MSE: 1.8178730254123183 | R2: -0.1176489878400735
140,SVR-1-2-0.1,MAE: 1.0647905206764117 | RMSE: 1.3429057422569735 | MSE: 1.803395832586753 | R2: -0.10874824522380155
141,SVR-1-2-1,MAE: 1.0562292833201592 | RMSE: 1.28065457792507 | MSE: 1.6400761479604389 | R2: -0.008337447733939074
142,SVR-1-3-0.01,MAE: 1.066777973576723 | RMSE: 1.3482853729499236 | MSE: 1.8178734469107145 | R2: -0.1176492469820758
143,SVR-1-3-0.1,MAE: 1.064790522557432 | RMSE: 1.3429057472628743 | MSE: 1.8033958460316588 | R2: -0.10874825348988248
144,SVR-1-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
145,SVR-1-4-0.01,MAE: 1.0667776036020333 | RMSE: 1.3482843538501923 | MSE: 1.8178706988372306 | R2: -0.11764755743527866
146,SVR-1-4-0.1,MAE: 1.0647904899244494 | RMSE: 1.3429056604956777 | MSE: 1.8033956129913324 | R2: -0.10874811021404218
147,SVR-1-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
148,SVR-10-2-0.01,MAE: 1.0667779204253496 | RMSE: 1.3482852265375072 | MSE: 1.8178730520992967 | R2: -0.11764900424753089
149,SVR-10-2-0.1,MAE: 1.0647905138092262 | RMSE: 1.342905723997947 | MSE: 1.8033957835464502 | R2: -0.10874821507326637
150,SVR-10-2-1,MAE: 1.0562292833201685 | RMSE: 1.2806545779250769 | MSE: 1.6400761479604569 | R2: -0.008337447733949954
151,SVR-10-3-0.01,MAE: 1.0667779506297113 | RMSE: 1.348285309741913 | MSE: 1.817873276465846 | R2: -0.11764914219063449
152,SVR-10-3-0.1,MAE: 1.0647905249081566 | RMSE: 1.3429057535131717 | MSE: 1.8033958628187794 | R2: -0.10874826381079483
153,SVR-10-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
154,SVR-10-4-0.01,MAE: 1.0667779222023297 | RMSE: 1.3482852314381482 | MSE: 1.817873065314221 | R2: -0.11764901237221648
155,SVR-10-4-0.1,MAE: 1.0647904636570231 | RMSE: 1.3429055906537708 | MSE: 1.803395425409153 | R2: -0.10874799488638742
156,SVR-10-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
157,SVR-100-2-0.01,MAE: 1.0667779276299982 | RMSE: 1.3482852463828687 | MSE: 1.817873105613713 | R2: -0.11764903714880193
158,SVR-100-2-0.1,MAE: 1.0647905195551615 | RMSE: 1.3429057392757273 | MSE: 1.803395824579688 | R2: -0.10874824030096697
159,SVR-100-2-1,MAE: 1.0562292833202616 | RMSE: 1.2806545779251468 | MSE: 1.6400761479606358 | R2: -0.008337447734060088
160,SVR-100-3-0.01,MAE: 1.0667779392646723 | RMSE: 1.3482852784366908 | MSE: 1.817873192049105 | R2: -0.11764909029026294
161,SVR-100-3-0.1,MAE: 1.0647905340205912 | RMSE: 1.3429057777420554 | MSE: 1.803395927892995 | R2: -0.1087483038191619
162,SVR-100-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
163,SVR-100-4-0.01,MAE: 1.0667776700694114 | RMSE: 1.3482845369349012 | MSE: 1.817871192537761 | R2: -0.11764786096797364
164,SVR-100-4-0.1,MAE: 1.0647904437369924 | RMSE: 1.3429055376888428 | MSE: 1.80339528315536 | R2: -0.10874790742713936
165,SVR-100-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
166,SVR-1000-2-0.01,MAE: 1.0667779198575587 | RMSE: 1.3482852249737842 | MSE: 1.8178730478826077 | R2: -0.11764900165506287
167,SVR-1000-2-0.1,MAE: 1.0647905147179177 | RMSE: 1.342905726414304 | MSE: 1.8033957900363298 | R2: -0.108748219063318
168,SVR-1000-2-1,MAE: 1.0562292833211917 | RMSE: 1.280654577925846 | MSE: 1.640076147962427 | R2: -0.00833744773516143
169,SVR-1000-3-0.01,MAE: 1.0667779497563052 | RMSE: 1.3482853073360943 | MSE: 1.8178732699783864 | R2: -0.11764913820207057
170,SVR-1000-3-0.1,MAE: 1.0647905298407825 | RMSE: 1.3429057666284352 | MSE: 1.803395898043905 | R2: -0.10874828546760229
171,SVR-1000-3-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
172,SVR-1000-4-0.01,MAE: 1.066777669023464 | RMSE: 1.348284534053833 | MSE: 1.8178711847687614 | R2: -0.1176478561915042
173,SVR-1000-4-0.1,MAE: 1.0647904206914824 | RMSE: 1.3429054764136712 | MSE: 1.8033951185818293 | R2: -0.10874780624546299
174,SVR-1000-4-1,MAE: 1.056229283320158 | RMSE: 1.280654577925069 | MSE: 1.6400761479604367 | R2: -0.008337447733937742
