model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
19,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'best', 'criterion': 'poisson'}
20,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'squared_error'}
21,0.8883097534167833,0.32436371706003536,0.7890942180153864,0.10521182094500267,0.6385854556871998,0.26946053150104643,0.1253778724942819,0.886023579414172,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'friedman_mse'}
22,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'absolute_error'}
23,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'splitter': 'random', 'criterion': 'poisson'}
24,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'squared_error'}
25,0.88806997248608,0.3451657212656762,0.7886682760314269,0.11913937513685448,0.6337559761991135,0.2830827853201444,0.1258499812434013,0.8709357997327215,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'friedman_mse'}
26,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'absolute_error'}
27,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'best', 'criterion': 'poisson'}
28,0.997951224111029,1.0159229295933108,0.9959066457047011,1.0320993988734553,0.7639137967628813,0.7636135700914173,-0.103850426700687,-0.11807774179550168,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.2, 'splitter': 'random', 'criterion': 'squared_error'}
