,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
1489,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8676955089301196,0.9612005100134098,0.868421052631579,0.9603232916972814,0.8732394366197183,0.9422442244224423,0.8493150684931506,0.9677966101694915,0.861111111111111,0.9548494983277592
1948,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.05}",0.8671753077856772,0.9899261359889204,0.868421052631579,0.9897134459955915,0.8840579710144928,0.9848484848484849,0.8356164383561644,0.9915254237288136,0.8591549295774648,0.9881756756756757
1567,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'sgd'}",0.8613663950060689,0.9629470861087297,0.8618421052631579,0.9625275532696547,0.8611111111111112,0.9484193011647255,0.8493150684931506,0.9661016949152542,0.8551724137931035,0.9571788413098237
1382,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8613663950060689,0.9569115610367341,0.8618421052631579,0.9559147685525349,0.8611111111111112,0.9358552631578947,0.8493150684931506,0.964406779661017,0.8551724137931035,0.9499165275459098
1383,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8613663950060689,0.9560641034096155,0.8618421052631579,0.9551800146950772,0.8611111111111112,0.9357495881383855,0.8493150684931506,0.9627118644067797,0.8551724137931035,0.9490392648287386
1480,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8608461938616265,0.9654894589900854,0.8618421052631579,0.964731814842028,0.8714285714285714,0.9486754966887417,0.8356164383561644,0.9711864406779661,0.8531468531468531,0.9597989949748744
1399,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.8608461938616265,0.9639934929323573,0.8618421052631579,0.9632623071271125,0.8714285714285714,0.9470198675496688,0.8356164383561644,0.9694915254237289,0.8531468531468531,0.9581239530988275
744,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 10}",0.8555574822264608,0.9269405790410868,0.8552631578947368,0.925789860396767,0.84,0.8975609756097561,0.863013698630137,0.9355932203389831,0.8513513513513513,0.916182572614108
2305,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.8555574822264608,0.9453417309679264,0.8552631578947368,0.9441587068332109,0.84,0.9199346405228758,0.863013698630137,0.9542372881355933,0.8513513513513513,0.9367720465890184
1387,LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'saga'}",0.8550372810820183,0.974767526215129,0.8552631578947368,0.9750183688464364,0.8493150684931506,0.9695945945945946,0.8493150684931506,0.9728813559322034,0.8493150684931505,0.9712351945854483
