,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
2347,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8471630366161615,0.9891984359726296,0.8502202643171806,0.9886685552407932,0.8316326530612245,0.9808917197452229,0.8232323232323232,0.9935483870967742,0.8274111675126903,0.9871794871794872
2240,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.05}",0.845446654040404,0.9866731834473771,0.8502202643171806,0.9858356940509915,0.8421052631578947,0.9746835443037974,0.8080808080808081,0.9935483870967742,0.8247422680412371,0.9840255591054313
1947,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.8444010416666667,0.9924242424242424,0.8458149779735683,0.9915014164305949,0.8168316831683168,0.9810126582278481,0.8333333333333334,1.0,0.825,0.9904153354632589
2309,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0.01}",0.8426846590909092,0.978771586836103,0.8458149779735683,0.9782813975448537,0.826530612244898,0.9682203389830508,0.8181818181818182,0.9827956989247312,0.8223350253807107,0.9754535752401281
2359,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",0.8407315340909092,0.9919572064733354,0.8436123348017621,0.9915014164305949,0.8223350253807107,0.9851063829787234,0.8181818181818182,0.9956989247311828,0.820253164556962,0.9903743315508022
2371,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 'scale'}",0.8407315340909092,0.9919572064733354,0.8436123348017621,0.9915014164305949,0.8223350253807107,0.9851063829787234,0.8181818181818182,0.9956989247311828,0.820253164556962,0.9903743315508022
2105,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}",0.8387784090909092,0.9883566851308787,0.8414096916299559,0.987724268177526,0.8181818181818182,0.9788135593220338,0.8181818181818182,0.9935483870967742,0.8181818181818182,0.9861259338313767
2308,XGBClassifier,"{'max_depth': 7, 'eta': 0.2, 'gamma': 0}",0.8387784090909092,0.9785380688606494,0.8414096916299559,0.9782813975448537,0.8181818181818182,0.9702127659574468,0.8181818181818182,0.9806451612903225,0.8181818181818182,0.9754010695187165
2249,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.838443023989899,0.9906484196806778,0.8436123348017621,0.9905571293673276,0.8359788359788359,0.987152034261242,0.797979797979798,0.9913978494623656,0.8165374677002585,0.9892703862660944
2331,SVC,"{'C': 0.1, 'kernel': 'poly', 'gamma': 0.05}",0.838443023989899,0.9694200065167806,0.8436123348017621,0.9688385269121813,0.8359788359788359,0.9556962025316456,0.797979797979798,0.9741935483870968,0.8165374677002585,0.9648562300319489
1539,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 500, 'solver': 'lbfgs'}",0.838443023989899,0.9921907244487889,0.8436123348017621,0.9915014164305949,0.8359788359788359,0.9830508474576272,0.797979797979798,0.9978494623655914,0.8165374677002585,0.9903948772678762
1493,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8382062815656566,0.9917236884978822,0.8414096916299559,0.9915014164305949,0.8214285714285714,0.9871794871794872,0.8131313131313131,0.9935483870967742,0.817258883248731,0.990353697749196
2305,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0}",0.8382062815656566,0.9532420984033888,0.8414096916299559,0.9527856468366384,0.8214285714285714,0.9368421052631579,0.8131313131313131,0.956989247311828,0.817258883248731,0.946808510638298
2159,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0}",0.8378708964646464,0.9902737047898338,0.8436123348017621,0.9896128423040604,0.839572192513369,0.9809322033898306,0.7929292929292929,0.9956989247311828,0.8155844155844156,0.9882604055496265
2260,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.05}",0.8378708964646464,0.9924242424242424,0.8436123348017621,0.9915014164305949,0.839572192513369,0.9810126582278481,0.7929292929292929,1.0,0.8155844155844156,0.9904153354632589
1496,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.837634154040404,0.9919572064733354,0.8414096916299559,0.9915014164305949,0.8247422680412371,0.9851063829787234,0.8080808080808081,0.9956989247311828,0.8163265306122448,0.9903743315508022
1488,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'lbfgs'}",0.837634154040404,0.9914901705224286,0.8414096916299559,0.9915014164305949,0.8247422680412371,0.9892703862660944,0.8080808080808081,0.9913978494623656,0.8163265306122448,0.9903329752953813
2245,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}",0.8370620265151515,0.9913489736070381,0.8414096916299559,0.9905571293673276,0.828125,0.9809725158562368,0.803030303030303,0.9978494623655914,0.8153846153846153,0.9893390191897654
2180,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'log_loss', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.05}",0.8370620265151515,0.9881231671554253,0.8414096916299559,0.987724268177526,0.828125,0.9808510638297873,0.803030303030303,0.9913978494623656,0.8153846153846153,0.986096256684492
1945,GradientBoostingClassifier,"{'max_depth': 3, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}",0.8365885416666667,0.9887314000217227,0.8370044052863436,0.9886685552407932,0.8009708737864077,0.9850107066381156,0.8333333333333334,0.989247311827957,0.8168316831683169,0.9871244635193134
1418,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'adam'}",0.8365885416666667,0.9921907244487889,0.8370044052863436,0.9915014164305949,0.8009708737864077,0.9830508474576272,0.8333333333333334,0.9978494623655914,0.8168316831683169,0.9903948772678762
2261,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}",0.836489898989899,0.9902737047898338,0.8414096916299559,0.9896128423040604,0.8315789473684211,0.9809322033898306,0.797979797979798,0.9956989247311828,0.8144329896907218,0.9882604055496265
1579,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.836489898989899,0.9895731508634735,0.8414096916299559,0.9896128423040604,0.8315789473684211,0.9871244635193133,0.797979797979798,0.989247311827957,0.8144329896907218,0.9881847475832438
1570,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'sgd'}",0.8362531565656566,0.9908819376561312,0.8392070484581498,0.9905571293673276,0.817258883248731,0.9850746268656716,0.8131313131313131,0.9935483870967742,0.8151898734177216,0.9892933618843683
2272,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",0.8362531565656566,0.9910231345715216,0.8392070484581498,0.9915014164305949,0.817258883248731,0.9935064935064936,0.8131313131313131,0.9870967741935484,0.8151898734177216,0.9902912621359222
1380,LogisticRegression,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8360164141414141,0.9166775279678506,0.8370044052863436,0.9159584513692163,0.803921568627451,0.8900414937759336,0.8282828282828283,0.9225806451612903,0.8159203980099502,0.9060190073917634
2306,XGBClassifier,"{'max_depth': 7, 'eta': 0.1, 'gamma': 0.01}",0.835681029040404,0.9532420984033888,0.8392070484581498,0.9527856468366384,0.8205128205128205,0.9368421052631579,0.8080808080808081,0.956989247311828,0.8142493638676844,0.946808510638298
