,Classifier,Accuracy
108,"MLPRegressor-(50, 50)-tanh-0.01-1000",-3.1928
109,GradientBoostingRegressor-10-0.1,-1.1743
110,GradientBoostingRegressor-10-0.5,-0.9572
111,GradientBoostingRegressor-10-1.0,-1.3054
112,GradientBoostingRegressor-10-2.0,-2.3992
113,GradientBoostingRegressor-100-0.1,-0.7522
114,GradientBoostingRegressor-100-0.5,-0.9165
115,GradientBoostingRegressor-100-1.0,-1.5292
116,GradientBoostingRegressor-100-2.0,-2.7561
117,GradientBoostingRegressor-200-0.1,-0.7391
118,GradientBoostingRegressor-200-0.5,-0.9120
119,GradientBoostingRegressor-200-1.0,-1.5208
120,GradientBoostingRegressor-200-2.0,-2.9833
121,SVR-0.01-2-0.01,-1.6988
122,SVR-0.01-2-0.1,-1.6907
123,SVR-0.01-2-1,-1.6748
124,SVR-0.01-3-0.01,-1.7859
125,SVR-0.01-3-0.1,-1.7812
126,SVR-0.01-3-1,-1.6653
127,SVR-0.01-4-0.01,-3.1588
128,SVR-0.01-4-0.1,-2.9892
129,SVR-0.01-4-1,-2.1482
130,SVR-0.01-5-0.01,-13.1955
131,SVR-0.01-5-0.1,-13.3042
132,SVR-0.01-5-1,-10.9844
133,SVR-0.1-2-0.01,-1.2686
134,SVR-0.1-2-0.1,-1.2630
135,SVR-0.1-2-1,-1.3239
136,SVR-0.1-3-0.01,-1.4856
137,SVR-0.1-3-0.1,-1.4661
138,SVR-0.1-3-1,-1.4443
139,SVR-0.1-4-0.01,-15.9139
140,SVR-0.1-4-0.1,-14.3375
141,SVR-0.1-4-1,-13.3672
142,SVR-0.1-5-0.01,-17.7697
143,SVR-0.1-5-0.1,-21.1224
144,SVR-0.1-5-1,-17.4268
145,SVR-1-2-0.01,-1.2050
146,SVR-1-2-0.1,-1.1799
147,SVR-1-2-1,-1.1836
148,SVR-1-3-0.01,-1.3441
149,SVR-1-3-0.1,-1.3294
150,SVR-1-3-1,-1.2100
151,SVR-1-4-0.01,-32.5443
152,SVR-1-4-0.1,-34.3333
153,SVR-1-4-1,-36.5452
154,SVR-1-5-0.01,-21.6626
155,SVR-1-5-0.1,-19.5687
156,SVR-1-5-1,-2.5664
157,SVR-10-2-0.01,-2.3855
158,SVR-10-2-0.1,-2.3979
159,SVR-10-2-1,-1.5592
160,SVR-10-3-0.01,-1.6696
161,SVR-10-3-0.1,-1.5834
162,SVR-10-3-1,-1.1831
163,SVR-10-4-0.01,-2.6771
164,SVR-10-4-0.1,-2.6234
165,SVR-10-4-1,-1.8753
166,SVR-10-5-0.01,-2052.4285
167,SVR-10-5-0.1,-1657.4749
168,SVR-10-5-1,-450.5576
169,SVR-100-2-0.01,-3.6953
170,SVR-100-2-0.1,-2.9643
171,SVR-100-2-1,-1.3173
172,SVR-100-3-0.01,-10.9926
173,SVR-100-3-0.1,-11.5547
174,SVR-100-3-1,-1.2281
175,SVR-100-4-0.01,-150.5948
176,SVR-100-4-0.1,-150.4415
177,SVR-100-4-1,-8.0611
178,SVR-100-5-0.01,-3831.9269
179,SVR-100-5-0.1,-4121.0386
180,SVR-100-5-1,-1065.0848
181,SVR-1000-2-0.01,-5.4123
182,SVR-1000-2-0.1,-4.3891
183,SVR-1000-2-1,-1.3173
184,SVR-1000-3-0.01,-20.0366
185,SVR-1000-3-0.1,-14.9259
186,SVR-1000-3-1,-1.2281
187,SVR-1000-4-0.01,-226.9640
188,SVR-1000-4-0.1,-211.4917
189,SVR-1000-4-1,-8.0735
190,SVR-1000-5-0.01,-6231.6227
191,SVR-1000-5-0.1,-5813.3302
192,SVR-1000-5-1,-1077.5028
