,model,hyperparams,roc_auc,accuracy,precision,recall,f1
59,RandomForestClassifier,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6369561679505262,0.6598056032018296,0.5922330097087378,0.5162200282087447,0.5516201959306707
164,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 7}",0.6367357871324726,0.6477987421383647,0.5639614855570839,0.5782792665726375,0.5710306406685237
121,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500}",0.636478111099056,0.6512292738707833,0.5714285714285714,0.5585331452750353,0.5649072753209701
143,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.6364530215905393,0.6306460834762722,0.535673839184598,0.6671368124118476,0.5942211055276382
147,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.6358034067483997,0.6552315608919382,0.5815384615384616,0.5331452750352609,0.5562913907284769
117,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200}",0.634972062493219,0.6483704974271012,0.56657223796034,0.5641748942172073,0.5653710247349824
141,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.6343943257025062,0.6500857632933105,0.5708029197080292,0.5514809590973202,0.5609756097560977
123,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.634265487685798,0.6518010291595198,0.5748502994011976,0.5416078984485191,0.5577342047930283
144,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200}",0.634104779212325,0.6529445397369925,0.5777439024390244,0.5345557122708039,0.5553113553113552
112,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 500}",0.6338925355321688,0.616923956546598,0.5197568389057751,0.7235543018335684,0.6049528301886792
195,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6338206574807421,0.6397941680960549,0.5509677419354839,0.6022566995768688,0.5754716981132075
122,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 1000}",0.6336558804383204,0.6529445397369925,0.5782208588957055,0.5317348377997179,0.5540044085231447
142,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 500}",0.6336321471194533,0.6283590623213264,0.5335608646188851,0.6614950634696756,0.5906801007556675
192,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.6331154388629706,0.6392224128073185,0.5503875968992248,0.6008462623413258,0.5745111260957517
47,RandomForestClassifier,"{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'gini'}",0.6325973744168385,0.6540880503144654,0.5822784810126582,0.5190409026798307,0.5488441461595823
184,SVC,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6320142128675275,0.6718124642652945,0.6457883369330454,0.4217207334273625,0.5102389078498293
160,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 5}",0.631731447325594,0.6546598056032018,0.5848142164781907,0.5105782792665726,0.5451807228915662
128,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.6316982206791798,0.6580903373356204,0.5945485519591142,0.4922425952045134,0.5385802469135802
190,SVC,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6311910057502441,0.6409376786735277,0.5546558704453441,0.5796897038081805,0.566896551724138
161,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 7}",0.6309957144407075,0.649514008004574,0.5727272727272728,0.5331452750352609,0.5522279035792549
134,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000}",0.6309001030704134,0.6477987421383647,0.5688888888888889,0.5416078984485191,0.5549132947976878
162,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 3}",0.6307407507865899,0.6449399656946827,0.5628571428571428,0.5557122708039492,0.5592618878637332
163,GradientBoostingClassifier,"{'n_estimators': 10, 'learning_rate': 0.5, 'max_depth': 5}",0.6307075241401758,0.6483704974271012,0.5703592814371258,0.53737658674189,0.5533769063180829
149,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000}",0.6306424270369969,0.6512292738707833,0.5772230889235569,0.5218617771509168,0.5481481481481482
119,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000}",0.6305413909081046,0.6655231560891939,0.6220472440944882,0.44569816643159377,0.5193097781429745
99,LogisticRegression,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}",0.6304525604860584,0.6437964551172098,0.5607344632768362,0.5599435825105783,0.5603387438249823
138,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200}",0.6300463816860149,0.6123499142367067,0.5155778894472361,0.7235543018335684,0.6021126760563379
110,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.6299053379624606,0.6500857632933105,0.5751937984496124,0.5232722143864598,0.5480059084194978
193,SVC,"{'C': 1000, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.6290448356298145,0.6346483704974271,0.5448717948717948,0.5994358251057827,0.5708529214237742
97,LogisticRegression,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.6287552891396333,0.6375071469411092,0.5499334221038615,0.5825105782792666,0.5657534246575342
146,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 1000}",0.6275611641531952,0.660377358490566,0.6086956521739131,0.4541607898448519,0.5201938610662359
126,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 200}",0.6272105891287838,0.6540880503144654,0.589041095890411,0.48519040902679833,0.5320959010054138
95,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.6271190463274384,0.6403659233847913,0.5563380281690141,0.5571227080394923,0.5567300916138125
103,LogisticRegression,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.625453645437778,0.6346483704974271,0.5467914438502673,0.5768688293370945,0.5614275909402883
115,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500}",0.6253512531192362,0.6529445397369925,0.5882352941176471,0.4795486600846262,0.5283605283605284
133,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500}",0.625252929369643,0.6592338479130933,0.6088631984585742,0.44569816643159377,0.5146579804560261
132,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 200}",0.6246473906911142,0.6483704974271012,0.5765472312703583,0.4992947813822285,0.5351473922902494
135,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 200}",0.6246114516654009,0.6598056032018296,0.6122047244094488,0.4386459802538787,0.5110928512736237
6,DecisionTreeClassifier,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6245239774330043,0.6340766152086906,0.5463087248322148,0.5740479548660085,0.5598349381017883
127,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.6238743625908647,0.6586620926243568,0.609375,0.4400564174894217,0.5110565110565111
109,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.6231718563523923,0.6500857632933105,0.582905982905983,0.4809590973201692,0.527047913446677
11,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'gini'}",0.6219926494520994,0.6289308176100629,0.538961038961039,0.5853314527503526,0.5611899932386748
12,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.6216407182380383,0.6266437964551173,0.5355329949238579,0.5952045133991537,0.5637942551770206
125,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 1000}",0.6215993544537268,0.6540880503144654,0.5973782771535581,0.44992947813822287,0.5132743362831859
25,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}",0.621317945101443,0.6329331046312179,0.546079779917469,0.5599435825105783,0.5529247910863511
96,LogisticRegression,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.6213165889117934,0.6369353916523728,0.553623188405797,0.538787023977433,0.5461043602573267
113,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000}",0.6207015569057177,0.6540880503144654,0.5988593155893536,0.44428772919605075,0.5101214574898785
98,LogisticRegression,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",0.6205476293804925,0.6352201257861635,0.5507868383404864,0.5430183356840621,0.546875
151,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 500}",0.6196457632635346,0.6472269868496283,0.5793103448275863,0.47390691114245415,0.5213343677269202
