,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1398,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8876209912676344,0.8821541982986789,0.9421363973797182,0.9392306416949348,0.7241479477957569,0.7066821580166293,-0.005963437703362828,0.05899112167025755
1079,RandomForestRegressor,"{'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8869415860225826,0.871122999468625,0.9417757620700283,0.9333397020745582,0.7225236174464498,0.7036386286212085,-0.005193450464856975,0.07075828897243797
2139,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",0.8869247834991223,0.1428317758145271,0.9417668413673962,0.37793091407627283,0.6903867763032756,0.30525168518982954,-0.005174407737805087,0.84763891686024
1222,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8866166461805971,0.8793631182092528,0.9416032318235729,0.9377436313882664,0.7241479477957569,0.7064388747514185,-0.004825187880143078,0.06196841424489441
1445,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",0.886164329073948,0.8999158521596566,0.9413630166274581,0.9486389472078703,0.7236956306891077,0.7126745397213875,-0.004312565402742052,0.04004446358119096
951,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8853523463356208,0.881354598263579,0.9409316374400537,0.9388048776309053,0.722580062385102,0.7066443025420628,-0.0033923247202443108,0.0598440686194337
1644,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.8852933577261776,0.11646974368237914,0.9409002910649872,0.34127663805537456,0.6930776909908081,0.2793437010274016,-0.0033254714293413645,0.8757597446418316
1935,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",0.8851516173236066,0.12514143778033338,0.9408249663585712,0.3537533572707592,0.6924617825408238,0.2876664933500662,-0.003164833427272251,0.8665095011446378
967,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8851344224498133,0.8842030933985789,0.9408158281246194,0.9403207396407776,0.7241479477957569,0.7077477648599418,-0.0031453460396122512,0.0568055304397328
1045,RandomForestRegressor,"{'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",0.8850306209936291,0.8824748168836534,0.9407606608450574,0.9394013076867912,0.7241479477957569,0.705774995603239,-0.0030277052101039814,0.05864911237573711
646,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}",0.8849603749202642,0.383814899148422,0.9407233253833266,0.6195279647832065,0.6930395076455615,0.4414121414431511,-0.002948093549110853,0.5905781229285563
129,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}",0.8841359194659844,0.17113504902251467,0.9402850203347836,0.41368472176588134,0.7063083415565596,0.3293400901192263,-0.0020137172204977016,0.8174473342255099
1015,RandomForestRegressor,"{'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8839454623570747,0.8791198991813334,0.9401837386155297,0.9376139393062228,0.7225236174464498,0.7045028781758004,-0.0017978673364833497,0.06222786011625381
1175,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8837559870316208,0.9045110997368239,0.940082968163779,0.9510578845353336,0.7225236174464498,0.7134425501898359,-0.0015831301326219016,0.03514263487984004
935,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8829721101498438,0.8977531016072045,0.9396659566834609,0.9474983385775431,0.7211318620195124,0.7117002614032137,-0.0006947425319605571,0.042351506358287216
2365,GradientBoostingRegressor,"{'max_depth': 7, 'loss': 'huber', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.882831244063547,0.2933217997744,0.9395909982878439,0.5415919125821581,0.6900933650861167,0.4006864159098221,-0.0005350954147551601,0.6871086502476573
1366,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8828211765047281,0.8778237889858758,0.9395856408570366,0.9369225095950442,0.7226800024905066,0.705137509604299,-0.0005236855943722141,0.06361044289324613
2464,SVR,"{'C': 0.01, 'kernel': 'poly', 'epsilon': 1, 'gamma': 'scale'}",0.8825578034833521,0.7984815974796435,0.9394454765889035,0.8935779750417103,0.7242220946549321,0.6857569768975955,-0.0002251982528285179,0.14824610724477982
1494,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8818988442280484,0.8881219589783503,0.9390946939622481,0.942402227808461,0.7226800024905066,0.7094771771541334,0.0005216170256441277,0.052625209912258275
1705,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500, 'solver': 'lbfgs'}",0.8816151272493341,0.09296565811631789,0.9389436230409864,0.30490270270418707,0.6995366490990476,0.2573604068069163,0.0008431606912966405,0.900831952241525
806,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}",0.8815889689145935,0.3220955811575193,0.93892969327559,0.5675346519442838,0.6836932404015015,0.41325256982754205,0.0008728065971496113,0.6564151685447375
1540,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 10}",0.8812779986424168,0.910114133772059,0.9387640803963565,0.9539990218926112,0.7179387157848198,0.7130763405872736,0.001225237113214428,0.02916578323314556
2163,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}",0.8809404794875614,0.1428317758145271,0.9385842953552768,0.37793091407627283,0.6977461057097825,0.30525168518982954,0.0016077561530404294,0.84763891686024
2113,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.8805644674580411,0.12026836063280107,0.9383839658999087,0.34679729040579466,0.7025625187518748,0.2771532575179593,0.00203390014642868,0.8717076953712906
1159,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8802423120092318,0.8810548116348093,0.9382122958100857,0.9386452000808448,0.7210556721411995,0.7066443025420628,0.0023990071075612462,0.06016385611216568
1446,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8802283777241297,0.8978609051269406,0.9382048698041008,0.9475552253705009,0.7209992272025474,0.7114817658761105,0.0024147991871550367,0.04223651051132227
2473,SVR,"{'C': 0.01, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 'scale'}",0.8801546105989642,0.8222077779964321,0.9381655560715092,0.9067567358428786,0.72599273403418,0.6938989320448169,0.0024984013456786913,0.12293698718593848
1922,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.880099955091912,0.1280726684047822,0.9381364266949195,0.3578724191730654,0.7019906352479434,0.28332696158110876,0.002560343821470301,0.86338270761199
1885,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.8800432808664055,0.13827224275332614,0.9381062204603514,0.3718497583074731,0.7170848370593504,0.2899825987585983,0.002624574162213178,0.8525026482803283
1094,RandomForestRegressor,"{'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",0.8798684799678667,0.8604952588965007,0.9380130489326184,0.9276288368180997,0.7205121597252516,0.6999851001206843,0.002822680464945715,0.08209508049283398
2101,GradientBoostingRegressor,"{'max_depth': 3, 'loss': 'huber', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.8794805613129564,0.1816820916453577,0.9378062493462903,0.4262418229659751,0.7034775980720313,0.32221476888342165,0.003262318539621556,0.8061966245793295
2137,GradientBoostingRegressor,"{'max_depth': 5, 'loss': 'squared_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0}",0.8790473860704235,0.1377859207113598,0.9375752695492898,0.3711952595486098,0.6974829145920746,0.30027629782936843,0.0037532470557261055,0.8530214162690771
1223,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",0.8788918729693376,0.870563065040377,0.9374923322189561,0.9330396910316179,0.7210556721411995,0.7027227339146118,0.0039294940072014395,0.0713555805449092
1205,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",0.8785438366108798,0.8874412020132594,0.9373066929297367,0.9420409768228022,0.7179504467147425,0.7068479325606741,0.00432393246127627,0.053351384938541524
802,DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}",0.8784724147217625,0.32264025279000913,0.9372685926252744,0.5680143068532774,0.682901069644886,0.4130285388722308,0.004404876704157457,0.6558341580559413
1627,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000, 'solver': 'lbfgs'}",0.8784578685514906,0.09297242496014448,0.9372608327202682,0.3049137992288058,0.6967801214555082,0.2573671736507429,0.004421362248771876,0.9008247339341913
