,model,mse,rmse,mae,r2
0,DecisionTreeRegressor,0.9801907398206148,0.99004582713156,0.728071005072353,-0.0933952725850471
1,DecisionTreeRegressor,0.9585463049228161,0.9790537804037203,0.7274716331353568,-0.06925107101938144
2,DecisionTreeRegressor,0.9858236734202829,0.9928865360252817,0.7381628796699092,-0.09967876692798461
3,DecisionTreeRegressor,0.9948157291542817,0.9974044962573017,0.7270597847736769,-0.10970933631713731
4,DecisionTreeRegressor,0.9901280588747761,0.9950517870315977,0.7229104932807155,-0.10448027597732334
5,DecisionTreeRegressor,0.9861286697025241,0.9930401148506157,0.7284144669861543,-0.10001898794784414
6,DecisionTreeRegressor,0.9027507204685009,0.950131948977878,0.7140189515069901,-0.007011523352737692
7,DecisionTreeRegressor,0.9495545284555613,0.9744508856045857,0.7238724946386375,-0.05922081315014549
8,DecisionTreeRegressor,0.9438725954101612,0.9715310573574893,0.7229513806694776,-0.052882660300300977
9,DecisionTreeRegressor,0.9273219007707724,0.962975545261027,0.7046332416531159,-0.03442048702980238
10,DecisionTreeRegressor,0.8939801001041058,0.9455052089248931,0.6875506119647224,0.0027720365754277942
11,DecisionTreeRegressor,0.8696121710031853,0.9325299839700519,0.6847421888898615,0.029954275092096694
12,DecisionTreeRegressor,0.8537343678166947,0.9239774714876411,0.6812703469499157,0.04766584309397548
13,DecisionTreeRegressor,0.8639264879264488,0.9294764590490976,0.6882999569473301,0.03629661107321214
14,DecisionTreeRegressor,0.8556830371911335,0.925031370922702,0.6873426687010346,0.04549211731257019
15,DecisionTreeRegressor,0.8404132868348521,0.9167405777180653,0.6715149340220767,0.06252540703347442
16,DecisionTreeRegressor,0.894384495365989,0.9457190361655987,0.6895844151840284,0.002320936754101388
17,DecisionTreeRegressor,0.8925287100889979,0.9447373762527859,0.6904441915536318,0.0043910510352935805
18,DecisionTreeRegressor,0.9943117545211088,0.997151821199314,0.7356929918463969,-0.10914715646884066
19,DecisionTreeRegressor,0.9100946253736664,0.9539887972998773,0.6970693197359427,-0.015203593099378576
20,DecisionTreeRegressor,0.985188286509763,0.9925665149045494,0.7379321441899198,-0.09896999768950754
21,DecisionTreeRegressor,0.9870664963793837,0.993512202431044,0.7376423131153682,-0.10106512643224774
22,DecisionTreeRegressor,0.9711717445508401,0.9854804638098312,0.7220180021935635,-0.08333465234980264
