,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
1823,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 500, 'solver': 'sgd'}",1.040218256339768,0.9901865761137654,1.019910906079432,0.9950811907144891,0.8021429031353136,0.7742143747519293,0.413747501692293,0.4555296221644276
1381,RandomForestRegressor,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",1.0397368896731012,1.0289749930928171,1.0196748941074802,1.0143840461545208,0.811452849669967,0.7999520744211687,0.4140187932305981,0.43420117300374983
193,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}",1.039666663600494,0.21197755825268477,1.0196404580049254,0.46041020650359693,0.7567028962046204,0.3584696839029768,0.4140583716654712,0.8834406524803857
1157,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 50}",1.0394787893430681,0.9971370823982195,1.0195483261440177,0.9985675151927482,0.8058600671617162,0.7882435557883133,0.41416425497612475,0.45170777194535283
294,DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}",1.0391979840625403,0.6561529745702152,1.0194106062144637,0.8100326996919416,0.7549009975247524,0.5620914706725467,0.4143225129150181,0.6392034929575396
1494,RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 100}",1.0387142622803618,1.0189410927620564,1.0191733229830742,1.0094261205071209,0.8070464067656766,0.7948564305402426,0.4145951317635719,0.43971847816223353
2062,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'huber', 'n_estimators': 200, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",1.0385506883529692,0.1212043975029604,1.0190930714870792,0.34814421940190304,0.7447461975247526,0.2815101577728775,0.4146873197472065,0.9333537681728905
1172,RandomForestRegressor,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'n_estimators': 10}",1.038335657989933,1.0189170916595207,1.0189875651792484,1.0094142319481734,0.8079552107260726,0.7957861185226021,0.41480850786015655,0.4397316755632904
100,DecisionTreeRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}",1.0379100517193058,0.13662447798807614,1.0187787059608706,0.36962748543374874,0.7434183097359737,0.2940227833517089,0.415048373617107,0.9248747832517485
871,RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'n_estimators': 200}",1.0379036975938933,0.9808595507554412,1.0187755874548101,0.9903835371993222,0.8040691061056107,0.782775310584344,0.41505195471354983,0.46065824049094517
