,model,set,rmse,mse,mae,r2
0,DecisionTreeRegressor,test,1.1167450391870772,1.2471194825489467,0.815568041089109,0.2723841477623805
1,RandomForestRegressor,test,0.7038137113323664,0.49535374025943957,0.5381040544905233,0.7109922193330673
2,LinearRegression,test,542600681.0196147,2.944154990429497e+17,41821084.8033344,-1.7177294336727046e+17
3,MLPRegressor,test,0.8124037096734269,0.6599997874911456,0.6358115572271545,0.6149315967139741
4,GradientBoostingRegressor,test,0.6761845397888923,0.45722553184951603,0.5278811524735902,0.7332376330602091
5,SVR,test,0.7415737379707049,0.5499316088478438,0.5709016787756878,0.6791494625467657
