,model,set,rmse,mse,mae,r2
0,RandomForestRegressor,test,0.7146229646521707,0.5106859816082576,0.5447608906877258,0.7020468199452463
1,LinearRegression,test,542600681.0196147,2.944154990429497e+17,41821084.8033344,-1.7177294336727046e+17
2,MLPRegressor,test,0.8060660225573956,0.6497424327214997,0.6274584666911415,0.6209161186758678
3,GradientBoostingRegressor,test,0.6739276076659323,0.4541784203743268,0.5261166857854356,0.7350154311332142
4,SVR,test,0.7415737379707049,0.5499316088478438,0.5709016787756878,0.6791494625467657
