,model,hyperparams,roc_auc,accuracy,precision,recall,f1
18,DecisionTreeClassifier,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5914830541433027,0.6041802743305029,0.5133858267716536,0.5232744783306581,0.5182829888712241
129,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.5901925810169635,0.6564337034617896,0.7487179487179487,0.23434991974317818,0.3569682151589242
15,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5850271529687953,0.6054866100587851,0.5165794066317626,0.4751203852327448,0.49498327759197325
9,DecisionTreeClassifier,"{'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}",0.5843536320631306,0.5996080992815154,0.5081168831168831,0.5024077046548957,0.5052461662631154
88,LogisticRegression,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.5835616704732678,0.6342259960809928,0.5969230769230769,0.3113964686998395,0.4092827004219409
87,LogisticRegression,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.5835616704732678,0.6342259960809928,0.5969230769230769,0.3113964686998395,0.4092827004219409
183,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5376446920895765,0.6192031352057479,0.7380952380952381,0.09951845906902086,0.1753889674681754
181,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5360864015952369,0.6185499673416068,0.7532467532467533,0.09309791332263243,0.16571428571428573
89,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5263442133770798,0.6126714565643371,0.8125,0.06260032102728733,0.11624441132637856
90,LogisticRegression,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.5193730068377398,0.6067929457870673,0.7560975609756098,0.04975922953451043,0.09337349397590361
84,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.5110194030589517,0.5956890920966689,0.5303030303030303,0.056179775280898875,0.10159651669085631
83,LogisticRegression,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.5090978355406905,0.596995427824951,0.575,0.03691813804173355,0.0693815987933635
182,SVC,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5058698849534369,0.5976485956890921,0.8888888888888888,0.012841091492776886,0.02531645569620253
82,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5930764206401045,0.0,0.0,0.0
81,LogisticRegression,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5930764206401045,0.0,0.0,0.0
86,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.5,0.5930764206401045,0.0,0.0,0.0
180,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 3}",0.5,0.5930764206401045,0.0,0.0,0.0
178,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3}",0.5,0.5930764206401045,0.0,0.0,0.0
85,LogisticRegression,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0.5930764206401045,0.0,0.0,0.0
179,SVC,"{'C': 0.01, 'kernel': 'rbf', 'gamma': 0.1, 'degree': 3}",0.5,0.5930764206401045,0.0,0.0,0.0
