,model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
3283,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.1}",845.2012311070526,949.2748362311619,29.07234478171743,30.810304059375362,23.3176795331619,24.897729398645293,-916.6943757196984,-1036.5082691299206
3280,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.1}",844.8709254201782,949.6009584855932,29.06666347244173,30.815596026778277,23.32621797526637,24.922901023359252,-916.3357396222144,-1036.8647038765353
3286,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.1}",842.5295886241207,940.2625194017916,29.02636023727606,30.663700354030848,23.341750544145363,24.897539958438617,-913.793585718116,-1026.658273240834
2105,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.05}",679.4866738204352,137.6053342974485,26.06696518239964,11.730530009230124,13.34696979739139,5.508533703836746,-736.7664347752456,-149.3955090359355
3287,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 1, 'gamma': 0.05}",274.16834559116774,280.84583563471614,16.558029640967785,16.758455645873703,13.035444197075174,13.582186600613626,-296.68384082905027,-305.9499640152322
3281,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.01, 'gamma': 0.05}",260.110403253876,282.45010874140087,16.1279385928232,16.806252073005478,12.591290421100194,13.360997779411722,-281.42014486847205,-307.70335149649776
3284,SVR,"{'C': 10, 'kernel': 'sigmoid', 'epsilon': 0.1, 'gamma': 0.05}",253.57738475287,271.0254008789808,15.92411331135489,16.462849111833005,12.57199272212602,13.360157576424156,-274.32678755403316,-295.2167370543469
1987,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",215.09310644357913,1.2023624880130868,14.666052858338508,1.0965229081114023,9.449296028371986,0.8546470519068249,-232.54170199303667,-0.31411997473556563
2106,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.1}",200.35864182192947,53.10852472352562,14.154809847607613,7.287559586276164,8.736857746866846,3.7893219080634664,-216.5434582436542,-57.04486905047476
2104,GradientBoostingRegressor,"{'max_depth': None, 'loss': 'quantile', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0}",192.6576555434003,46.244830860981324,13.880117274122734,6.8003552010892285,7.953287726763033,3.0080038315316417,-208.18195623064344,-49.54320686859439
