,model,mse,rmse,mae,r2
0,DecisionTreeRegressor,90021060.77968198,9487.942916126865,3035.7604315068497,-0.6781632083941249
1,RandomForestRegressor,60678489.273828775,7789.639868044528,2962.302717728492,-0.13116205650467028
2,LinearRegression,1960351539.2272782,44275.857295226684,15925.723230593609,-35.54466854930158
3,MLPRegressor,54927362.95173206,7411.2996803348915,3367.6426525915845,-0.023950160566336143
4,GradientBoostingRegressor,81386381.67791271,9021.440111086074,3214.365638566535,-0.5171964228510983
5,XGBRegressor,68883058.75363553,8299.581842095151,3128.195999358484,-0.28411078341894624
6,SVR,58128907.7075574,7624.231614238736,2229.349267213907,-0.08363302336221512
