model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.0177405494933502,0.29082137843422085,1.0357958260830264,0.0845770741543803,0.7401841539225742,0.250734569390786,-0.11189969133343514,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'squared_error'}
1,1.0020579555142435,0.29082137843422085,1.0041201462093856,0.0845770741543803,0.7364560867941203,0.250734569390786,-0.07789667858963334,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'friedman_mse'}
2,1.0027749807927226,0.29082137843422085,1.0055576621038451,0.0845770741543803,0.7454997388073383,0.250734569390786,-0.07943981425313651,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'absolute_error'}
3,1.013312163777978,0.29082137843422085,1.0268015412604077,0.0845770741543803,0.7508960063848547,0.250734569390786,-0.10224456214078947,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'best', 'criterion': 'poisson'}
4,0.9961255068992091,0.29082137843422085,0.9922660254952063,0.0845770741543803,0.73209545919474,0.250734569390786,-0.06517159046780807,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'squared_error'}
5,1.005978287052714,0.29082137843422085,1.0119923140215128,0.0845770741543803,0.7322436488136203,0.250734569390786,-0.08634724456027443,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'friedman_mse'}
6,1.0307570491293125,0.29082137843422085,1.062460094329768,0.0845770741543803,0.7592441191017305,0.250734569390786,-0.14052308494692456,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'absolute_error'}
7,1.0407023075638924,0.29082137843422085,1.0830612929688104,0.0845770741543803,0.7621295934460496,0.250734569390786,-0.16263793213111644,0.9048696611448768,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'splitter': 'random', 'criterion': 'poisson'}
8,1.0181593091087426,0.9533545722061629,1.0366483787247922,0.9088849403463959,0.7616626917895123,0.709208014951495,-0.11281488426562691,-0.02229278111050803,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'squared_error'}
9,1.0036222891736917,0.29879353429689803,1.007257699326241,0.08927757613763157,0.7282062993161379,0.25543507137403726,-0.08126475968662561,0.8995826451192377,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'friedman_mse'}
10,1.0296620828901655,0.9768861118175773,1.060204004941714,0.9543064754620642,0.7762017383912575,0.7342903089830132,-0.13810123207686198,-0.0733818743438146,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'absolute_error'}
11,1.0296620828901655,0.9768861118175773,1.060204004941714,0.9543064754620642,0.7762017383912575,0.7342903089830132,-0.13810123207686198,-0.0733818743438146,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'best', 'criterion': 'poisson'}
12,1.0181593091087426,0.9533545722061629,1.0366483787247922,0.9088849403463959,0.7616626917895123,0.709208014951495,-0.11281488426562691,-0.02229278111050803,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'squared_error'}
13,1.004941722919596,0.29879353429689803,1.009907866464606,0.08927757613763157,0.7315679607624379,0.25543507137403726,-0.08410964470057025,0.8995826451192377,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'friedman_mse'}
14,1.0296620828901655,0.9768861118175773,1.060204004941714,0.9543064754620642,0.7762017383912575,0.7342903089830132,-0.13810123207686198,-0.0733818743438146,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'absolute_error'}
15,1.0296620828901655,0.9768861118175773,1.060204004941714,0.9543064754620642,0.7762017383912575,0.7342903089830132,-0.13810123207686198,-0.0733818743438146,DecisionTreeRegressor,{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'splitter': 'random', 'criterion': 'poisson'}
