,model,roc_auc,accuracy,precision,recall,f1
0,DecisionTreeClassifier,0.6371584699453552,0.6529680365296804,0.592814371257485,0.5409836065573771,0.5657142857142857
1,DecisionTreeClassifier,0.6495660559305689,0.6575342465753424,0.5882352941176471,0.6010928961748634,0.5945945945945946
2,DecisionTreeClassifier,0.6468338154934105,0.6552511415525114,0.5860215053763441,0.5956284153005464,0.5907859078590786
3,DecisionTreeClassifier,0.6581806493089037,0.6666666666666666,0.6,0.6065573770491803,0.6032608695652173
4,DecisionTreeClassifier,0.63625843780135,0.6438356164383562,0.5714285714285714,0.5901639344262295,0.5806451612903226
5,DecisionTreeClassifier,0.6515268402442944,0.6598173515981736,0.5913978494623656,0.6010928961748634,0.5962059620596205
6,DecisionTreeClassifier,0.6530697524911604,0.6598173515981736,0.5894736842105263,0.6120218579234973,0.6005361930294907
7,DecisionTreeClassifier,0.6476052716168434,0.6552511415525114,0.5851063829787234,0.6010928961748634,0.5929919137466307
8,DecisionTreeClassifier,0.630729668916747,0.634703196347032,0.5577889447236181,0.6065573770491803,0.581151832460733
9,DecisionTreeClassifier,0.6656059144969464,0.6735159817351598,0.6075268817204301,0.6174863387978142,0.6124661246612467
10,DecisionTreeClassifier,0.6784956605593058,0.684931506849315,0.6190476190476191,0.639344262295082,0.6290322580645161
11,DecisionTreeClassifier,0.6624558019929283,0.6689497716894978,0.6,0.6229508196721312,0.611260053619303
12,DecisionTreeClassifier,0.6686917389906782,0.6735159817351598,0.6030927835051546,0.639344262295082,0.6206896551724137
13,DecisionTreeClassifier,0.6491481838637094,0.6552511415525114,0.5833333333333334,0.6120218579234973,0.5973333333333335
14,DecisionTreeClassifier,0.6686917389906782,0.6735159817351598,0.6030927835051546,0.639344262295082,0.6206896551724137
15,DecisionTreeClassifier,0.6690453230472516,0.6712328767123288,0.5970149253731343,0.6557377049180327,0.625
16,DecisionTreeClassifier,0.6675024108003857,0.6712328767123288,0.5989847715736041,0.644808743169399,0.6210526315789474
17,DecisionTreeClassifier,0.6628093860495018,0.6666666666666666,0.5939086294416244,0.639344262295082,0.6157894736842104
18,DecisionTreeClassifier,0.6585985213757635,0.6689497716894978,0.6055555555555555,0.5956284153005464,0.6005509641873277
19,DecisionTreeClassifier,0.6546769527483125,0.6643835616438356,0.5989010989010989,0.5956284153005464,0.5972602739726026
20,DecisionTreeClassifier,0.645644487303118,0.6529680365296804,0.582010582010582,0.6010928961748634,0.5913978494623655
21,DecisionTreeClassifier,0.6515268402442944,0.6598173515981736,0.5913978494623656,0.6010928961748634,0.5962059620596205
22,DecisionTreeClassifier,0.6346512375441979,0.639269406392694,0.5634517766497462,0.6065573770491803,0.5842105263157895
23,DecisionTreeClassifier,0.6546769527483125,0.6643835616438356,0.5989010989010989,0.5956284153005464,0.5972602739726026
24,DecisionTreeClassifier,0.6522982963677274,0.6598173515981736,0.5904255319148937,0.6065573770491803,0.5983827493261455
25,DecisionTreeClassifier,0.6389906782385085,0.6461187214611872,0.5736842105263158,0.5956284153005464,0.5844504021447721
26,DecisionTreeClassifier,0.6366763098682096,0.6461187214611872,0.5760869565217391,0.5792349726775956,0.5776566757493189
27,RandomForestClassifier,0.6912246865959498,0.7123287671232876,0.6912751677852349,0.5628415300546448,0.6204819277108434
28,RandomForestClassifier,0.6982320797171327,0.7168949771689498,0.6903225806451613,0.5846994535519126,0.6331360946745561
29,RandomForestClassifier,0.7044680167148827,0.7214611872146118,0.6918238993710691,0.6010928961748634,0.6432748538011694
30,RandomForestClassifier,0.7103503696560591,0.728310502283105,0.7051282051282052,0.6010928961748634,0.6489675516224189
31,RandomForestClassifier,0.7088074574091932,0.728310502283105,0.7105263157894737,0.5901639344262295,0.6447761194029851
32,RandomForestClassifier,0.6888460302153648,0.7077625570776256,0.6774193548387096,0.5737704918032787,0.6213017751479291
33,RandomForestClassifier,0.6861137897782064,0.7054794520547946,0.6753246753246753,0.5683060109289617,0.6172106824925816
34,RandomForestClassifier,0.7041144326583092,0.723744292237443,0.7039473684210527,0.5846994535519126,0.6388059701492537
35,RandomForestClassifier,0.7193185470909675,0.7351598173515982,0.7080745341614907,0.6229508196721312,0.6627906976744187
36,RandomForestClassifier,0.6939569270331083,0.7146118721461188,0.6933333333333334,0.5683060109289617,0.6246246246246245
37,RandomForestClassifier,0.7103503696560591,0.728310502283105,0.7051282051282052,0.6010928961748634,0.6489675516224189
38,RandomForestClassifier,0.7029251044680167,0.7214611872146118,0.6967741935483871,0.5901639344262295,0.6390532544378699
39,RandomForestClassifier,0.7123111539697846,0.730593607305936,0.7096774193548387,0.6010928961748634,0.650887573964497
40,RandomForestClassifier,0.6912246865959498,0.7123287671232876,0.6912751677852349,0.5628415300546448,0.6204819277108434
41,RandomForestClassifier,0.6931854709096753,0.7146118721461188,0.6959459459459459,0.5628415300546448,0.6223564954682779
42,RandomForestClassifier,0.7018000642880102,0.723744292237443,0.7123287671232876,0.5683060109289617,0.6322188449848023
43,RandomForestClassifier,0.6931854709096753,0.7146118721461188,0.6959459459459459,0.5628415300546448,0.6223564954682779
44,RandomForestClassifier,0.6966891674702667,0.7168949771689498,0.695364238410596,0.5737704918032787,0.6287425149700598
45,RandomForestClassifier,0.7060752169720346,0.726027397260274,0.7086092715231788,0.5846994535519126,0.6407185628742516
46,RandomForestClassifier,0.7009643201542912,0.7191780821917808,0.6923076923076923,0.5901639344262295,0.6371681415929203
47,RandomForestClassifier,0.6864673738347797,0.7031963470319634,0.6645962732919255,0.5846994535519126,0.622093023255814
