model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
0,1.1315354234122745,1.109063926699417,1.2803724144367954,1.2300227935059296,0.907515873568282,0.8799158553352219,0.2682360170509803,0.3252036968884925,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
1,1.1315354234122745,1.109063926699417,1.2803724144367954,1.2300227935059296,0.907515873568282,0.8799158553352219,0.2682360170509803,0.3252036968884925,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
2,1.1315354234122745,1.109063926699417,1.2803724144367954,1.2300227935059296,0.907515873568282,0.8799158553352219,0.2682360170509803,0.3252036968884925,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
3,1.0015779503604545,0.9805303658817621,1.003158390648249,0.9614397984162223,0.8108243264317181,0.7815232530689329,0.4266705755353273,0.47254959415318165,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
4,1.0015779503604545,0.9805303658817621,1.003158390648249,0.9614397984162223,0.8108243264317181,0.7815232530689329,0.4266705755353273,0.47254959415318165,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
5,1.0015779503604545,0.9805303658817621,1.003158390648249,0.9614397984162223,0.8108243264317181,0.7815232530689329,0.4266705755353273,0.47254959415318165,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
6,0.866997244982266,0.6595912150960604,0.7516842228068394,0.4350605710318975,0.6557318462555067,0.5256018362606232,0.5703941801627872,0.761323719762035,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
7,0.8486482703001824,0.6595912150960604,0.7202038866834914,0.4350605710318975,0.6490257828193834,0.5256018362606232,0.5883859580911863,0.761323719762035,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
8,0.8698363858941184,0.6595912150960604,0.7566153382253417,0.4350605710318975,0.6567118074889868,0.5256018362606232,0.567575927740025,0.761323719762035,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
9,1.0297865472703545,0.6398530533341085,1.0604603329389979,0.4094119298609815,0.781609024229075,0.500681644381492,0.39392112151039194,0.7753946852216553,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
10,1.015632511145989,0.6398530533341085,1.0315093976967074,0.4094119298609815,0.7735782629955947,0.500681644381492,0.41046728530158594,0.7753946852216553,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
11,1.0055796510973722,0.657321413844093,1.0111904347011127,0.4320714410979975,0.7671653638766519,0.5221109357884797,0.4220800669605773,0.7629635705351792,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'squared_error', 'n_estimators': 10, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
