model,mse,rmse,mae,r2
51,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
52,0.28858402452513604,0.0832807392111243,0.25143783233664946,0.9071009724418574,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
53,0.28858402452513604,0.0832807392111243,0.25143783233664946,0.9071009724418574,RandomForestRegressor,{'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
54,0.28859739010840313,0.08328845357738184,0.251445546702907,0.9070923671253059,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
55,0.28859739010840313,0.08328845357738184,0.251445546702907,0.9070923671253059,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
56,0.28859739010840313,0.08328845357738184,0.251445546702907,0.9070923671253059,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
57,0.2886247652123144,0.0833042550938636,0.25146134821938876,0.9070747406545396,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
58,0.28858402452513604,0.0832807392111243,0.25143783233664946,0.9071009724418574,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
59,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
60,0.28868795162028,0.08334073341071313,0.2514978265362383,0.9070340493711243,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
61,0.28859739010840313,0.08328845357738184,0.251445546702907,0.9070923671253059,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
62,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
63,0.2887153181374256,0.0833565349271949,0.25151362805272004,0.907016422900358,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
64,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
65,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'bootstrap': True, 'criterion': 'squared_error'}
66,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True, 'criterion': 'squared_error'}
67,0.28867459022999514,0.0833330190444556,0.25149011216998074,0.9070426546876758,RandomForestRegressor,{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True, 'criterion': 'squared_error'}
