,model,roc_auc,accuracy,precision,recall,f1
0,DecisionTreeClassifier,0.6991869918699187,0.7031963470319634,0.6597938144329897,0.6666666666666666,0.6632124352331606
1,RandomForestClassifier,0.7248475609756097,0.7397260273972602,0.7532467532467533,0.6041666666666666,0.6705202312138729
2,LogisticRegression,0.6935975609756097,0.7123287671232876,0.7323943661971831,0.5416666666666666,0.6227544910179641
3,MLPClassifier,0.7005843495934959,0.7214611872146118,0.7611940298507462,0.53125,0.6257668711656441
4,GradientBoostingClassifier,0.7364075203252032,0.7488584474885844,0.7530864197530864,0.6354166666666666,0.6892655367231637
5,XGBClassifier,0.7398373983739837,0.7488584474885844,0.735632183908046,0.6666666666666666,0.6994535519125683
6,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
7,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
8,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
9,SVC,0.583841463414634,0.6301369863013698,0.8,0.20833333333333334,0.3305785123966943
10,SVC,0.583841463414634,0.6301369863013698,0.8,0.20833333333333334,0.3305785123966943
11,SVC,0.583841463414634,0.6301369863013698,0.8,0.20833333333333334,0.3305785123966943
12,SVC,0.5566565040650406,0.6073059360730594,0.7777777777777778,0.14583333333333334,0.24561403508771928
13,SVC,0.7398373983739837,0.7488584474885844,0.735632183908046,0.6666666666666666,0.6994535519125683
14,SVC,0.7162093495934959,0.7351598173515982,0.7714285714285715,0.5625,0.6506024096385543
15,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
16,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
17,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
18,SVC,0.5670731707317074,0.6164383561643836,0.8,0.16666666666666666,0.27586206896551724
19,SVC,0.5757113821138211,0.6210045662100456,0.7407407407407407,0.20833333333333334,0.3252032520325203
20,SVC,0.6040396341463414,0.6438356164383562,0.75,0.28125,0.4090909090909091
21,SVC,0.6398628048780488,0.6712328767123288,0.74,0.3854166666666667,0.5068493150684932
22,SVC,0.6398628048780488,0.6712328767123288,0.74,0.3854166666666667,0.5068493150684932
23,SVC,0.6398628048780488,0.6712328767123288,0.74,0.3854166666666667,0.5068493150684932
24,SVC,0.6722560975609756,0.6986301369863014,0.7586206896551724,0.4583333333333333,0.5714285714285715
25,SVC,0.7409806910569107,0.7488584474885844,0.7303370786516854,0.6770833333333334,0.7027027027027027
26,SVC,0.7276422764227641,0.7351598173515982,0.7111111111111111,0.6666666666666666,0.6881720430107527
27,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
28,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
29,SVC,0.5,0.5616438356164384,0.0,0.0,0.0
30,SVC,0.6416412601626016,0.6757990867579908,0.7777777777777778,0.3645833333333333,0.49645390070921985
31,SVC,0.7028709349593496,0.7214611872146118,0.7464788732394366,0.5520833333333334,0.6347305389221557
32,SVC,0.7023628048780487,0.726027397260274,0.7903225806451613,0.5104166666666666,0.6202531645569619
33,SVC,0.6953760162601627,0.7168949771689498,0.7575757575757576,0.5208333333333334,0.617283950617284
34,SVC,0.6953760162601627,0.7168949771689498,0.7575757575757576,0.5208333333333334,0.617283950617284
35,SVC,0.6953760162601627,0.7168949771689498,0.7575757575757576,0.5208333333333334,0.617283950617284
36,SVC,0.7289126016260161,0.7442922374429224,0.7631578947368421,0.6041666666666666,0.6744186046511628
37,SVC,0.7525406504065041,0.7579908675799086,0.7311827956989247,0.7083333333333334,0.7195767195767196
38,SVC,0.746189024390244,0.7534246575342466,0.7333333333333333,0.6875,0.7096774193548386
